artist_id,artist_name,avg_track_popularity,song_portfolio_score
1tqZaCwM57UFKjWoYwMLrw,The Cardigans,63.3,27.695700110253583
7FaGCZiP3s6X7jQTB8EhfI,Naresh Iyer,63.1,27.60749724366042
0CjWKoS55T7DOt0HJuwF1H,Bipolar Sunshine,52.5,22.932745314222714
2DlGxzQSjYe5N6G9nkYghR,Jennifer Lopez,68.1,29.81256890848952
5uwa6tAMMfNbBFIHiI6NV4,W Sound,70.0,30.650496141124584
0Yg29FX1M4ayqjXs0ttZFq,Young Cister,64.7,28.313120176405736
5diMmmNkRVfgUnXJrzXzjZ,Javed Bashir,55.6,24.299889746416756
2ycnb8Er79LoH2AsR5ldjh,Pet Shop Boys,58.0,25.35832414553473
6dk4snfeN31dQDbb03Wmmr,Omkar Singh,33.1,14.377067254685779
0rvjqX7ttXeg3mTy8Xscbt,Journey,70.6,30.915104740904077
1WgXqy2Dd70QQOU7Ay074N,AURORA,64.0,28.004410143329658
5jTtGLk1mGFMY5lQOvJYUj,bôa,62.3,27.25468577728776
1WX2v0BiEW19Vw7xmznLdZ,Vierra,66.6,29.15104740904079
4RSyJzf7ef6Iu2rnLdabNq,Willy William,52.2,22.800441014332968
1zng9JZpblpk48IPceRWs8,Grupo Niche,66.6,29.15104740904079
2jqTyPt0UZGrthPF4KMpeN,Bappi Lahiri,56.4,24.652701212789413
2lolQgalUvZDfp5vvVtTYV,Tony Bennett,62.2,27.210584343991183
3TVXtAsR1Inumwj472S9r4,Drake,84.4,37.001102535832416
250b0Wlc5Vk0CoUsaCY84M,JENNIE,77.5,33.95810363836824
3bO19AOone0ubCsfDXDtYt,Myles Smith,73.1,32.01764057331863
5f4QpKfy7ptCHwTqspnSJI,Neha Kakkar,65.2,28.533627342888646
1elUiq4X7pxej6FRlrEzjM,Jorge & Mateus,66.8,29.239250275633957
0lZoBs4Pzo7R89JM9lxwoT,Duran Duran,68.0,29.768467475192942
69bG9tC62d8oTFC9aTTosn,New West,56.1,24.52039691289967
0QJIPDAEDILuo8AIq3pMuU,M.I.A.,57.2,25.005512679162074
4Gso3d4CscCijv0lmajZWs,Don Toliver,79.7,34.92833517089305
2gBjLmx6zQnFGQJCAQpRgw,Nelly,67.9,29.72436604189636
77ziqFxp5gaInVrF2lj4ht,Sech,71.3,31.223814773980152
3S9Hg7sRKhmtWunFZ2yAYP,El Bogueto,69.9,30.606394707828002
6wPhSqRtPu1UhRCDX5yaDJ,The Pussycat Dolls,59.9,26.196251378169787
5yzqUq3vXrMkmfcOwMY203,Arslan Nizami,57.2,25.005512679162074
7cmuxPnXRJxwuYDHfbD8Eu,Zé Felipe,69.1,30.253583241455342
7xeM7V59cA1X8GKyKKQV87,Sin Bandera,69.1,30.253583241455342
5b5bt4mZQpJMoCRbiQ7diH,Royel Otis,71.6,31.3561190738699
0rZp7G3gIH6WkyeXbrZnGi,Novo Amor,69.3,30.34178610804851
3MKCzCnpzw3TjUYs2v7vDA,Pyotr Ilyich Tchaikovsky,63.6,27.82800441014333
6ogn9necmbUdCppmNnGOdi,Alanis Morissette,65.1,28.489525909592057
5QdEbQJ3ylBnc3gsIASAT5,G Herbo,61.7,26.990077177508272
1r4hJ1h58CWwUQe3MxPuau,Maluma,78.5,34.399117971334064
3hcs9uc56yIGFCSy9leWe7,Lil Durk,68.6,30.03307607497243
2qxJFvFYMEDqd7ui6kSAcq,Zedd,69.6,30.474090407938252
5Y3MV9DZ0d87NnVm56qSY1,Tiago PZK,68.4,29.94487320837927
2QMsj4XJ7ne2hojxt6v5eb,Riley Green,73.4,32.14994487320838
0TImkz4nPqjegtVSMZnMRq,TLC,61.0,26.681367144432194
5tKXB9uuebKE34yowVaU3C,Iyaz,54.8,23.9470782800441
2NfSBtmWe7oPw1EmetJVso,Boza,61.5,26.901874310915105
4lhUHpVOXmkEBGGHV71QCh,Chance Peña,69.3,30.34178610804851
2WKdxPFRD7IqZvlIAvhMgY,Fugees,58.4,25.534729878721055
08F3Y3SctIlsOEmKd6dnH8,Yusuf / Cat Stevens,65.6,28.710033076074968
47z98pKd71yIbgXwe9LPVC,Bernadya,70.1,30.694597574421167
26VFTg2z8YR0cCuwLzESi2,Halsey,78.1,34.222712238147736
7v4imS0moSyGdXyLgVTIV7,Nat King Cole,69.8,30.56229327453142
3tlXnStJ1fFhdScmQeLpuG,Brent Faiyaz,74.6,32.67916207276736
3ZxZ03fj3tXBZHZWzvaLSM,Neeti Mohan,63.7,27.872105843439915
74OaRjmyh0XyRZsQQQ5l7c,Jasleen Royal,66.4,29.06284454244763
4W48hZAnAHVOC2c8WH8pcq,The Temper Trap,59.8,26.152149944873205
00XhexlJEXQstHimpZN910,Brytiago,69.6,30.474090407938252
2O8vbr4RYPpk6MRA4fio7u,SAIKO,68.1,29.81256890848952
3XxNRirzbjfLdDli06zMaB,Eyedress,62.8,27.475192943770672
3RqBeV12Tt7A8xH3zBDDUF,Kelsea Ballerini,58.8,25.711135611907384
41QLxRXlc2NwfJZkHGHKid,Israel & Rodolffo,64.3,28.136714443219404
5JXhkyafynxCvxtov7C1PV,Bruno & Marrone,66.0,28.8864388092613
03Yb3iBy9GCifXiATEFcit,Pepe Aguilar,67.0,29.32745314222712
5QNm7E7RU2m64l6Gliu8Oy,HARDY,66.4,29.06284454244763
3dN9MQpjIyNxyeRfz4EDZe,Rochak Kohli,66.3,29.018743109151046
3dRfiJ2650SZu6GbydcHNb,John Williams,66.2,28.974641675854468
1pQWsZQehhS4wavwh7Fnxd,Lenny Tavárez,70.5,30.871003307607495
7qjJw7ZM2ekDSahLXPjIlN,Sid Sriram,64.1,28.048511576626236
2Z0lRIqr997lIUiPtrpKCr,Matheus & Kauan,72.8,31.885336273428884
0FEJqmeLRzsXj8hgcZaAyB,Indila,67.7,29.6361631753032
3Ayl7mCk0nScecqOzvNp6s,Jimmy Eat World,62.0,27.122381477398015
1aw0Cdl1DIrtUrUA6fGbAR,Dread Mar I,68.7,30.07717750826902
6hN9F0iuULZYWXppob22Aj,Simple Minds,54.6,23.858875413450935
6rEXjeIJ0wL6BFdo8CRcit,Saindhavi,62.3,27.25468577728776
6gEzJZrbm0F4ihvE9iXR9z,Péricles,61.9,27.07828004410143
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,88.1,38.63285556780595
00x1fYSGhdqScXBRpSj3DW,Olivia Dean,88.3,38.72105843439912
762310PdDnwsDxAQxzQkfX,Depeche Mode,70.0,30.650496141124584
75jNCko3SnEMI5gwGqrbb8,Tammi Terrell,50.1,21.87431091510474
1gPhS1zisyXr5dHTYZyiMe,Kevin Gates,67.7,29.6361631753032
5MouCg6ta7zAxsfMEbc1uh,OMI,36.7,15.964718853362736
1on7ZQ2pvgeQF4vmIA09x5,Charlie Brown Jr.,64.3,28.136714443219404
4xRYI6VqpkE3UwrDrAZL8L,Logic,62.2,27.210584343991183
3IYUhFvPQItj6xySrBmZkd,Creedence Clearwater Revival,74.4,32.590959206174205
3EiLUeyEcA6fbRPSHkG5kb,De La Ghetto,69.3,30.34178610804851
1JbemQ1fPt2YmSLjAFhPBv,Chayanne,70.6,30.915104740904077
2rTo8KIkBTFjQS7VvaKYQ4,W&W,66.9,29.28335170893054
3win9vGIxFfBRag9S63wwf,Bailey Zimmerman,72.6,31.79713340683572
2p4aN0Uxkk3iT3HK0cJ2cJ,Tokischa,64.1,28.048511576626236
0EyhkwP3UnwGFBy6xwKjSy,EsDeeKid,81.6,35.76626240352811
4mYFgEjpQT4IKOrjOUKyXu,Wheatus,47.7,20.815876515986773
4iJLPqClelZOBCBifm8Fzv,Pierce The Veil,73.1,32.01764057331863
3awueWqdp1OZudPelsEIgx,Mc Staff,68.2,29.85667034178611
6TLwD7HPWuiOzvXEa3oCNe,Oliver Tree,65.4,28.621830209481807
6mDl7lQiLxT0iQ8LYhAlWy,Zerb,64.4,28.180815876515986
