track_id,name,popularity,duration_ms
5BZsQlgw21vDOAjoqkNgKb,DAISIES,91,176453
3JsydWaf2Ev4ehaLUjj3SY,Confident,86,248133
6QFCMUUq1T2Vf5sFUXcuQ7,Beauty And A Beat,83,227986
09CtPGIpYB4BrO8qb1RGsF,Sorry,85,200786
50kpGaPAhYJ3sGmk6vplg0,Love Yourself,85,233720
29iva9idM6rFCPUlu7Rhxl,YUKON,85,163866
567e29TDzLwZwfDuEpGTwo,STAY (with Justin Bieber),80,141805
6I3mqTwhRpn34SLVafSH7G,Ghost,84,153190
6epn3r7S14KUqlReYr77hA,Baby,83,214240
4B0JvthVoAAuygILe3n4Bs,What Do You Mean?,82,205680
