rank,artist_name,track_name,daily_streams,streams_plus,seven_day,seven_day_plus,total_streams,artist_url,track_url
1,Brenda Lee,Rockin' Around The Christmas Tree,"1,800,850","+33,803","9,389,010","+847,898","483,010,736",https://kworb.net/spotify/artist/4cPHsZM98sKzmV26wlwD2W_albums.html,https://kworb.net/spotify/track/2EjXfH91m7f8HiJN1yQg97.html
2,Mariah Carey,All I Want for Christmas Is You,"1,522,393","+50,578","8,226,745","+605,623","494,957,167",https://kworb.net/spotify/artist/4iHNK0tOyZPYnBU7nGAgpQ_albums.html,https://kworb.net/spotify/track/0bYg9bo50gSsH3LtXe2SQn.html
3,Bobby Helms,Jingle Bell Rock,"1,506,259","+22,328","7,871,498","+659,819","412,542,318",https://kworb.net/spotify/artist/38EmEgXkgK51MT2tPY0EoC_albums.html,https://kworb.net/spotify/track/7vQbuQcyTflfCIOu3Uzzya.html
4,Wham!,Last Christmas,"1,359,502","+67,291","7,222,662","+588,340","358,784,167",https://kworb.net/spotify/artist/5lpH0xAS4fVfLkACg9DAuM_albums.html,https://kworb.net/spotify/track/2FRnf9qhLbvw8fu4IBXx78.html
5,Andy Williams,It's the Most Wonderful Time of the Year,"1,251,231","-95,168","6,826,740","+629,038","342,647,880",https://kworb.net/spotify/artist/4sj6D0zlMOl25nprDJBiU9_albums.html,https://kworb.net/spotify/track/1IcR6RlgvDczfvoWJSSY2A.html
6,Nat King Cole,The Christmas Song (Merry Christmas To You),"1,228,851","+63,852","6,268,643","+601,609","237,185,834",https://kworb.net/spotify/artist/7v4imS0moSyGdXyLgVTIV7_albums.html,https://kworb.net/spotify/track/4PS1e8f2LvuTFgUs1Cn3ON.html
7,Dean Martin,Let It Snow! Let It Snow! Let It Snow!,"1,215,840","+88,587","6,073,220","+582,093","227,540,209",https://kworb.net/spotify/artist/49e4v89VmlDcFCMyDv9wQ9_albums.html,https://kworb.net/spotify/track/2uFaJJtFpPDc5Pa95XzTvg.html
8,Ariana Grande,Santa Tell Me,"1,092,321","+20,360","5,998,092","+439,426","298,529,080",https://kworb.net/spotify/artist/66CXWjxzNUsdJxJ2JdwvnR_albums.html,https://kworb.net/spotify/track/0lizgQ7Qw35od7CYaoMBZb.html
9,The Ronettes,Sleigh Ride,"1,081,615","+12,764","5,686,752","+451,866","194,774,812",https://kworb.net/spotify/artist/7CyeXFnOrfC1N6z4naIpgo_albums.html,https://kworb.net/spotify/track/7fUYUcWy853HS8YJn0b3Sr.html
10,Kelly Clarkson,Underneath the Tree,"1,055,904","+65,794","5,631,385","+466,974","214,204,597",https://kworb.net/spotify/artist/3BmGtnKgCSGYIUhmivXKWX_albums.html,https://kworb.net/spotify/track/3nAp4IvdMPPWEH9uuXFFV5.html
