rank,artist_name,track_name,daily_streams,streams_plus,seven_day,seven_day_plus,total_streams,artist_url,track_url
64,Gwen Stefani,You Make It Feel Like Christmas (w/ Blake Shelton),"455,452","+37,215","1,169,777","+455,452","62,417,227",https://kworb.net/spotify/artist/4yiQZ8tQPux8cPriYMWUFP_albums.html,https://kworb.net/spotify/track/2OQ6a4CfUeYskpTTgyawyJ.html
65,The Weeknd,Timeless (w/ Playboi Carti),"453,449","-26,001","3,743,334","-113,839","374,482,328",https://kworb.net/spotify/artist/1Xyo4u8uXC1ZmMpatF05PJ_albums.html,https://kworb.net/spotify/track/0FIDCNYYjNvPVimz5icugS.html
66,HUNTR/X,"How Itâs Done (w/ Ejae, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast)","448,622","+5,782","3,361,279","-97,861","149,675,295",https://kworb.net/spotify/artist/2yNNYQBChuox9A5Ka93BIn_albums.html,https://kworb.net/spotify/track/3RXUgPNIbUgFxsDWuBQEt6.html
67,The MarÃ­as,Sienna,"439,386","+46,550","3,238,399","-65,710","78,510,812",https://kworb.net/spotify/artist/2sSGPbdZJkaSE2AbcGOACx_albums.html,https://kworb.net/spotify/track/0InIeZW4P6VO7dUGRM4AKH.html
68,Coldplay,Sparks,"431,891","-16,162","3,501,145","-95,197","206,684,443",https://kworb.net/spotify/artist/4gzpq5DPGxSnKTe4SA8HAU_albums.html,https://kworb.net/spotify/track/7D0RhFcb3CrfPuTJ0obrod.html
69,Morgan Wallen,I'm The Problem,"430,203","-38,466","3,346,161","-112,336","210,081,760",https://kworb.net/spotify/artist/4oUHIQIBe0LHzYfvXNW4QM_albums.html,https://kworb.net/spotify/track/7AeM1BGYM7emrqmQn1PuWv.html
70,Tate McRae,NOBODY'S GIRL,"424,546","-57,867","4,321,203","-437,736","6,549,247",https://kworb.net/spotify/artist/45dkTj5sMRSjrmBSBeiHym_albums.html,https://kworb.net/spotify/track/3B2ZpJeewPvhAkjXtTkdtJ.html
71,Morgan Wallen,What I Want (w/ Tate McRae),"422,769","+26,933","3,236,027","-140,881","167,741,712",https://kworb.net/spotify/artist/4oUHIQIBe0LHzYfvXNW4QM_albums.html,https://kworb.net/spotify/track/04emojnbYkrRmv5qtJcgVP.html
72,Zach Bryan,I Remember Everything (w/ Kacey Musgraves),"419,983","+9,452","2,987,051","-50,273","717,701,077",https://kworb.net/spotify/artist/40ZNYROS4zLfyyBSs2PGe2_albums.html,https://kworb.net/spotify/track/4KULAymBBJcPRpk1yO4dOG.html
73,Arctic Monkeys,505,"416,842","-2,936","3,507,140","-123,031","693,445,517",https://kworb.net/spotify/artist/7Ln80lUS6He07XvHI8qqHH_albums.html,https://kworb.net/spotify/track/58ge6dfP91o9oXMzq3XkIS.html
74,Kendrick Lamar,luther,"416,662","+31,026","3,046,558","-70,045","448,524,689",https://kworb.net/spotify/artist/2YZyLoL8N0Wb9xBt1NhZWg_albums.html,https://kworb.net/spotify/track/2CGNAOSuO1MEFCbBRgUzjd.html
75,The Jackson 5,I Saw Mommy Kissing Santa Claus,"416,119","+49,316","1,048,529","+416,119","70,307,592",https://kworb.net/spotify/artist/2iE18Oxc8YSumAU232n4rW_albums.html,https://kworb.net/spotify/track/3lkYS3iMpWMVpaJ0yJAFrJ.html
76,Ella Langley,weren't for the wind,"410,908","-29,254","3,353,431","-86,570","92,441,560",https://kworb.net/spotify/artist/6BRxQ8cD3eqnrVj6WKDok8_albums.html,https://kworb.net/spotify/track/2A22iI0x4EYAVXNpKPhNEM.html
77,Bruce Springsteen,"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975","407,637","+40,342","774,932","+407,637","81,414,288",https://kworb.net/spotify/artist/3eqjTLE0HfPfh78zjh6TqT_albums.html,https://kworb.net/spotify/track/6s2wpWPFPAgKg2LXxi1Oee.html
78,Zach Bryan,Something in the Orange,"406,850","+57,315","2,849,362","-51,835","844,974,391",https://kworb.net/spotify/artist/40ZNYROS4zLfyyBSs2PGe2_albums.html,https://kworb.net/spotify/track/3WMj8moIAXJhHsyLaqIIHI.html
79,Gayla Peevey,I Want a Hippopotamus for Christmas (Hippo the Hero),"406,375","+42,186","770,564","+406,375","31,498,039",https://kworb.net/spotify/artist/1suIIDedjFJRuu8k7b55hZ_albums.html,https://kworb.net/spotify/track/5P8Xvy5tzhmfyfA6GplQ8h.html
80,Lady Gaga,Die With A Smile (w/ Bruno Mars),"404,214","-8,469","3,441,258","-157,595","542,606,570",https://kworb.net/spotify/artist/1HY2Jd0NmPuamShAr6KMms_albums.html,https://kworb.net/spotify/track/2plbrEY59IikOBgBGLjaoe.html
81,Disco Lines,No Broke Boys (w/ Tinashe),"401,476","+45,456","3,203,989","-198,516","95,499,625",https://kworb.net/spotify/artist/5Kmr0b3ip8g9P2i0dLTC3Z_albums.html,https://kworb.net/spotify/track/3cZajhyr8LmtPfHZ9296tj.html
82,Teddy Swims,Lose Control,"401,250","+8,920","3,292,497","-141,169","554,425,781",https://kworb.net/spotify/artist/33qOK5uJ8AR2xuQQAhHump_albums.html,https://kworb.net/spotify/track/17phhZDn6oGtzMe56NuWvj.html
83,Jonas Brothers,Like It's Christmas,"400,561","+32,831","768,291","+400,561","49,714,930",https://kworb.net/spotify/artist/7gOdHgIoIKoe4i9Tta6qdD_albums.html,https://kworb.net/spotify/track/1OjmlSFuzYflWjSMTCyTJv.html
84,Sabrina Carpenter,Manchild,"395,999","-15,891","3,331,480","-105,871","152,093,444",https://kworb.net/spotify/artist/74KM79TiuVKeVCqs8QtB0B_albums.html,https://kworb.net/spotify/track/42UBPzRMh5yyz0EDPr6fr1.html
85,Djo,End of Beginning,"395,374","+18,555","2,611,859","+395,374","324,007,561",https://kworb.net/spotify/artist/5p9HO3XC5P3BLxJs5Mtrhm_albums.html,https://kworb.net/spotify/track/3qhlB30KknSejmIvZZLjOD.html
86,Tate McRae,ANYTHING BUT LOVE,"394,344","+2,196","3,940,001","-379,292","5,787,333",https://kworb.net/spotify/artist/45dkTj5sMRSjrmBSBeiHym_albums.html,https://kworb.net/spotify/track/66tlRqExpkn4kRyuxelzs5.html
87,Drake,Headlines,"393,419","+59,124","2,856,602","-127,921","100,878,039",https://kworb.net/spotify/artist/3TVXtAsR1Inumwj472S9r4_albums.html,https://kworb.net/spotify/track/6LxSe8YmdPxy095Ux6znaQ.html
88,Kate Bush,Running Up That Hill (A Deal With God),"393,268","+23,875","1,098,923","+393,268","165,828,030",https://kworb.net/spotify/artist/1aSxMhuvixZ8h9dK9jIDwL_albums.html,https://kworb.net/spotify/track/75FEaRjZTKLhTrFGsfMUXR.html
89,Pentatonix,Hallelujah,"391,609","+28,465","1,021,565","+391,609","59,718,253",https://kworb.net/spotify/artist/26AHtbjWKiwYzsoGoUZq53_albums.html,https://kworb.net/spotify/track/550rQQCGkrTzvp4SfpOPzx.html
90,Chappell Roan,Pink Pony Club,"391,520","+22,514","3,008,415","-139,598","428,048,648",https://kworb.net/spotify/artist/7GlBOeep6PqTfFi59PTUUN_albums.html,https://kworb.net/spotify/track/6393yGahSJ9slVdOwSxOVR.html
91,Ravyn Lenae,Love Me Not,"390,005","+21,821","3,116,841","-151,409","191,002,278",https://kworb.net/spotify/artist/5RTLRtXjbXI2lSXc6jxlAz_albums.html,https://kworb.net/spotify/track/4WFgvKVfEhb3IUAFGrutTR.html
92,KATSEYE,Gabriela,"388,816","-12,986","3,194,479","-109,844","79,058,094",https://kworb.net/spotify/artist/3c0gDdb9lhnHGFtP4prQpn_albums.html,https://kworb.net/spotify/track/1xOqGUkyxGQRdCvGpvWKmL.html
93,Benson Boone,Beautiful Things,"385,642","-4,579","2,891,597","-95,385","609,699,127",https://kworb.net/spotify/artist/22wbnEMDvgVIAGdFeek6ET_albums.html,https://kworb.net/spotify/track/3xkHsmpQCBMytMJNiDf3Ii.html
94,RUMI,"Free (w/ Jinu, Ejae, Andrew Choi, KPop Demon Hunters Cast)","385,608","+14,180","2,724,563","-76,319","118,926,653",https://kworb.net/spotify/artist/5sUZGmvurxH1pOXNabE3yJ_albums.html,https://kworb.net/spotify/track/5DxDLsW6PsLz5gkwC7Mk5S.html
95,sombr,undressed,"385,082","+54,914","2,695,580","-79,872","187,744,274",https://kworb.net/spotify/artist/4G9NDjRyZFDlJKMRL8hx3S_albums.html,https://kworb.net/spotify/track/4AajxCEwGEsmHmT4H1TwjY.html
96,Olivia Dean,Nice To Each Other,"383,283","-33,300","3,573,745","-157,342","36,826,588",https://kworb.net/spotify/artist/00x1fYSGhdqScXBRpSj3DW_albums.html,https://kworb.net/spotify/track/7gKxCvTDWwV9wBhdeBbr3l.html
97,Olivia Dean,A Couple Minutes,"382,316","+26,340","2,990,579","-72,143","11,421,342",https://kworb.net/spotify/artist/00x1fYSGhdqScXBRpSj3DW_albums.html,https://kworb.net/spotify/track/312z6PZ8wwREck8613PkJk.html
98,HUNTR/X,"Takedown (w/ Ejae, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast)","381,513","+6,284","2,736,597","-81,708","119,518,466",https://kworb.net/spotify/artist/2yNNYQBChuox9A5Ka93BIn_albums.html,https://kworb.net/spotify/track/0MHStU0muAIEMbwdnebYu2.html
99,EsDeeKid,Phantom (w/ Rico Ace),"381,427","+17,789","2,591,614","+34,149","4,266,060",https://kworb.net/spotify/artist/0EyhkwP3UnwGFBy6xwKjSy_albums.html,https://kworb.net/spotify/track/57Z6TJCTMACXxdrcwZ3Zvf.html
100,Andy Williams,Happy Holiday / The Holiday Season,"380,518","+30,871","730,165","+380,518","62,466,898",https://kworb.net/spotify/artist/4sj6D0zlMOl25nprDJBiU9_albums.html,https://kworb.net/spotify/track/1Wf14bTyb6UeKojy8ykPYm.html
101,Taylor Swift,Christmas Tree Farm,"378,861","+30,332","727,390","+378,861","56,828,011",https://kworb.net/spotify/artist/06HL4z0CvFAxyc27GXpf02_albums.html,https://kworb.net/spotify/track/2mvabkN1i2gLnGAPUVdwek.html
102,Tame Impala,The Less I Know The Better,"377,474","+27,585","2,774,246","-57,095","289,603,494",https://kworb.net/spotify/artist/5INjqkS1o8h1imAzPqGZBb_albums.html,https://kworb.net/spotify/track/6K4t31amVTZDgR3sKmwUJJ.html
103,Riley Green,Worst Way,"374,992","-5,885","3,346,339","-158,821","160,538,553",https://kworb.net/spotify/artist/2QMsj4XJ7ne2hojxt6v5eb_albums.html,https://kworb.net/spotify/track/1osfLqL6L2iQsirRf83ded.html
104,Tate McRae,Sports car,"374,369","+12,465","3,264,210","-197,859","210,426,051",https://kworb.net/spotify/artist/45dkTj5sMRSjrmBSBeiHym_albums.html,https://kworb.net/spotify/track/5UJbgR4XF4y1DvbkxEqe8S.html
105,Taylor Swift,Elizabeth Taylor,"373,878","-7,207","3,191,009","-189,577","89,693,552",https://kworb.net/spotify/artist/06HL4z0CvFAxyc27GXpf02_albums.html,https://kworb.net/spotify/track/1jgTiNob5cVyXeJ3WgX5bL.html
106,YoungBoy Never Broke Again,Nevada,"372,343","+46,203","2,690,695","-87,627","31,857,421",https://kworb.net/spotify/artist/7wlFDEWiM5OoIAt8RSli8b_albums.html,https://kworb.net/spotify/track/2cEnKRR4dYBB2VA1mjlb1z.html
107,Chris Stapleton,You Should Probably Leave,"372,256","+69,208","2,549,267","-83,817","343,393,012",https://kworb.net/spotify/artist/4YLtscXsxbVgi031ovDDdh_albums.html,https://kworb.net/spotify/track/2UikqkwBv7aIvlixeVXHWt.html
108,EsDeeKid,4 Raws,"368,482","+7,931","2,765,789","+3,012","4,186,850",https://kworb.net/spotify/artist/0EyhkwP3UnwGFBy6xwKjSy_albums.html,https://kworb.net/spotify/track/554qQSs9lpRVq6TlaaiIKT.html
109,Taylor Swift,Father Figure,"367,717",-27,"3,089,493","-168,950","85,495,926",https://kworb.net/spotify/artist/06HL4z0CvFAxyc27GXpf02_albums.html,https://kworb.net/spotify/track/03bTIHJElXZ0O0jqOQvAbY.html
110,Post Malone,I Had Some Help (Feat. Morgan Wallen) (w/ Morgan Wallen),"367,291","-3,761","2,757,637","-93,074","628,012,910",https://kworb.net/spotify/artist/246dkjvS1zLTtiykXe5h60_albums.html,https://kworb.net/spotify/track/5IZXB5IKAD2qlvTPJYDCFB.html
111,Mariah Carey,Christmas (Baby Please Come Home),"367,122","+25,781","708,463","+367,122","91,554,722",https://kworb.net/spotify/artist/4iHNK0tOyZPYnBU7nGAgpQ_albums.html,https://kworb.net/spotify/track/3PIDciSFdrQxSQSihim3hN.html
112,Gorillaz,Feel Good Inc,"366,516","+48,320","2,556,725","-54,053","136,265,523",https://kworb.net/spotify/artist/3AA28KZvwAUcZuOKwyblJQ_albums.html,https://kworb.net/spotify/track/0d28khcov6AiegSCpG5TuT.html
