rank,artist_name,track_name,daily_streams,streams_plus,seven_day,seven_day_plus,total_streams,artist_url,track_url
1,Taylor Swift,The Fate of Ophelia,"1,341,674","-56,235","10,048,135","-144,921","137,000,080",https://kworb.net/spotify/artist/06HL4z0CvFAxyc27GXpf02_albums.html,https://kworb.net/spotify/track/53iuhJlwXhSER5J2IYYv1W.html
2,HUNTR/X,"Golden (w/ Ejae, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast)","1,289,935","+68,272","9,225,980","-31,950","249,189,200",https://kworb.net/spotify/artist/2yNNYQBChuox9A5Ka93BIn_albums.html,https://kworb.net/spotify/track/1CPZ5BxNNd0n0nF4Orb9JS.html
3,Olivia Dean,Man I Need,"1,261,178","+18,782","8,635,735","+120,751","88,428,560",https://kworb.net/spotify/artist/00x1fYSGhdqScXBRpSj3DW_albums.html,https://kworb.net/spotify/track/1qbmS6ep2hbBRaEZFpn7BX.html
4,Olivia Dean,So Easy (To Fall In Love),"954,986","+1,780","6,450,213","+127,544","36,909,384",https://kworb.net/spotify/artist/00x1fYSGhdqScXBRpSj3DW_albums.html,https://kworb.net/spotify/track/6sGIMrtIzQjdzNndVxe397.html
5,Taylor Swift,Opalite,"902,607","+15,398","6,797,306","-122,781","106,247,004",https://kworb.net/spotify/artist/06HL4z0CvFAxyc27GXpf02_albums.html,https://kworb.net/spotify/track/3yWuTOYDztXjZxdE2cIRUa.html
6,Alex Warren,Ordinary,"857,833","+84,007","5,755,462","+60,335","285,591,972",https://kworb.net/spotify/artist/0fTSzq9jAh4c36UVb4V7CB_albums.html,https://kworb.net/spotify/track/2RkZ5LkEzeHGRsmDqKwmaJ.html
7,sombr,back to friends,"829,226","-42,387","5,942,307","-22,904","244,046,523",https://kworb.net/spotify/artist/4G9NDjRyZFDlJKMRL8hx3S_albums.html,https://kworb.net/spotify/track/0FTmksd2dxiE5e3rWyJXs6.html
8,The Neighbourhood,Sweater Weather,"723,460","-8,070","5,017,498","+31,029","976,280,232",https://kworb.net/spotify/artist/77SW9BnxLY8rJ0RciFqkHh_albums.html,https://kworb.net/spotify/track/2QjOHCTQ1Jl3zawyYOpxh6.html
9,The Goo Goo Dolls,Iris,"702,524","+14,587","4,524,340","+58,388","297,272,926",https://kworb.net/spotify/artist/2sil8z5kiy4r76CRTXxBCA_albums.html,https://kworb.net/spotify/track/6Qyc6fS4DsZjB2mRW9DsQs.html
10,Brenda Lee,Rockin' Around The Christmas Tree,"691,084","+8,144","4,697,247","-74,798","469,459,111",https://kworb.net/spotify/artist/4cPHsZM98sKzmV26wlwD2W_albums.html,https://kworb.net/spotify/track/2EjXfH91m7f8HiJN1yQg97.html
