rank,artist_name,artist_url,listeners,daily_change,peak_rank,peak_listeners
1,The Weeknd,https://kworb.net/spotify/artist/1Xyo4u8uXC1ZmMpatF05PJ_albums.html,"120,376,863","68,096",1,"126,192,069"
2,Bruno Mars,https://kworb.net/spotify/artist/0du5cEVh5yTK9QJze8zA0C_albums.html,"114,025,925","16,504",1,"151,079,821"
3,Justin Bieber,https://kworb.net/spotify/artist/1uNFoZAHBGtllmzznpCI3s_albums.html,"106,944,083","579,582",3,"106,944,083"
4,Taylor Swift,https://kworb.net/spotify/artist/06HL4z0CvFAxyc27GXpf02_albums.html,"105,908,456","244,866",1,"116,229,071"
5,Ariana Grande,https://kworb.net/spotify/artist/66CXWjxzNUsdJxJ2JdwvnR_albums.html,"104,651,337","783,173",2,"123,700,287"
6,Rihanna,https://kworb.net/spotify/artist/5pKCCKE2ajJHZ9KAiaK11H_albums.html,"100,087,687","-118,380",2,"102,670,137"
7,Lady Gaga,https://kworb.net/spotify/artist/1HY2Jd0NmPuamShAr6KMms_albums.html,"97,585,912","-61,501",2,"124,637,761"
8,Ed Sheeran,https://kworb.net/spotify/artist/6eUKZXaKkcviH0Ku9w2n3V_albums.html,"97,381,402","144,224",2,"100,809,268"
9,Coldplay,https://kworb.net/spotify/artist/4gzpq5DPGxSnKTe4SA8HAU_albums.html,"93,467,167","133,793",4,"98,296,633"
10,Billie Eilish,https://kworb.net/spotify/artist/6qqNVTkY8uBg9cP3Jd7DAH_albums.html,"92,790,986","122,990",1,"108,297,865"
11,Drake,https://kworb.net/spotify/artist/3TVXtAsR1Inumwj472S9r4_albums.html,"80,924,481","151,317",3,"86,591,246"
12,Bad Bunny,https://kworb.net/spotify/artist/4q3ewBCX7sLwd24euuV69X_albums.html,"78,242,784","418,558",3,"95,350,887"
13,Sia,https://kworb.net/spotify/artist/5WUlDfRSoLAfcVSX1WnrxN_albums.html,"77,263,132","712,404",8,"93,545,630"
14,David Guetta,https://kworb.net/spotify/artist/1Cs0zKBU1kc0i8ypK3B9ai_albums.html,"76,043,720","-37,292",4,"82,747,865"
15,Sabrina Carpenter,https://kworb.net/spotify/artist/74KM79TiuVKeVCqs8QtB0B_albums.html,"74,271,380","258,685",4,"90,844,193"
16,Maroon 5,https://kworb.net/spotify/artist/04gDigrS5kc9YWfZHwBETP_albums.html,"73,322,821","31,569",14,"75,143,583"
17,Eminem,https://kworb.net/spotify/artist/7dGJo4pcD2V6oG8kP0tJRR_albums.html,"72,013,825","10,165",5,"86,389,533"
18,Kendrick Lamar,https://kworb.net/spotify/artist/2YZyLoL8N0Wb9xBt1NhZWg_albums.html,"70,752,709","298,924",4,"112,091,210"
