rank,artist_name,artist_url,listeners,daily_change,peak_rank,peak_listeners
1,The Weeknd,https://kworb.net/spotify/artist/1Xyo4u8uXC1ZmMpatF05PJ_albums.html,"120,308,767","-193,609",1,"126,192,069"
2,Bruno Mars,https://kworb.net/spotify/artist/0du5cEVh5yTK9QJze8zA0C_albums.html,"114,009,421","-240,365",1,"151,079,821"
3,Justin Bieber,https://kworb.net/spotify/artist/1uNFoZAHBGtllmzznpCI3s_albums.html,"106,364,501","512,240",3,"106,364,501"
4,Taylor Swift,https://kworb.net/spotify/artist/06HL4z0CvFAxyc27GXpf02_albums.html,"105,663,590","53,987",1,"116,229,071"
5,Ariana Grande,https://kworb.net/spotify/artist/66CXWjxzNUsdJxJ2JdwvnR_albums.html,"103,868,164","780,691",2,"123,700,287"
6,Rihanna,https://kworb.net/spotify/artist/5pKCCKE2ajJHZ9KAiaK11H_albums.html,"100,206,067","-26,721",2,"102,670,137"
7,Lady Gaga,https://kworb.net/spotify/artist/1HY2Jd0NmPuamShAr6KMms_albums.html,"97,647,413","-297,645",2,"124,637,761"
8,Ed Sheeran,https://kworb.net/spotify/artist/6eUKZXaKkcviH0Ku9w2n3V_albums.html,"97,237,178","-40,032",2,"100,809,268"
9,Coldplay,https://kworb.net/spotify/artist/4gzpq5DPGxSnKTe4SA8HAU_albums.html,"93,333,374","-22,596",4,"98,296,633"
10,Billie Eilish,https://kworb.net/spotify/artist/6qqNVTkY8uBg9cP3Jd7DAH_albums.html,"92,667,996","-165,445",1,"108,297,865"
11,Drake,https://kworb.net/spotify/artist/3TVXtAsR1Inumwj472S9r4_albums.html,"80,773,164","-30,589",3,"86,591,246"
12,Bad Bunny,https://kworb.net/spotify/artist/4q3ewBCX7sLwd24euuV69X_albums.html,"77,824,226","-100,616",3,"95,350,887"
13,Sia,https://kworb.net/spotify/artist/5WUlDfRSoLAfcVSX1WnrxN_albums.html,"76,550,728","563,472",8,"93,545,630"
14,David Guetta,https://kworb.net/spotify/artist/1Cs0zKBU1kc0i8ypK3B9ai_albums.html,"76,081,012","-134,100",4,"82,747,865"
15,Sabrina Carpenter,https://kworb.net/spotify/artist/74KM79TiuVKeVCqs8QtB0B_albums.html,"74,012,695","51,504",4,"90,844,193"
16,Maroon 5,https://kworb.net/spotify/artist/04gDigrS5kc9YWfZHwBETP_albums.html,"73,291,252","-31,938",14,"75,143,583"
17,Eminem,https://kworb.net/spotify/artist/7dGJo4pcD2V6oG8kP0tJRR_albums.html,"72,003,660","36,462",5,"86,389,533"
18,Kendrick Lamar,https://kworb.net/spotify/artist/2YZyLoL8N0Wb9xBt1NhZWg_albums.html,"70,453,785","-12,901",4,"112,091,210"
19,Shakira,https://kworb.net/spotify/artist/0EmeFodog0BfCgMzAIvKQp_albums.html,"67,447,178","-116,844",3,"82,268,835"
20,SZA,https://kworb.net/spotify/artist/7tYKF4w9nC0nq9CsPZTHyP_albums.html,"66,906,483","-142,075",6,"97,852,020"
