rank,artist_name,artist_url,listeners,daily_change,peak_rank,peak_listeners
21,Mariah Carey,https://kworb.net/spotify/artist/4iHNK0tOyZPYnBU7nGAgpQ_albums.html,"66,431,319","1,216,805",5,"100,610,625"
22,J Balvin,https://kworb.net/spotify/artist/1vyhD5VmyZ7KMfW5gqLgo5_albums.html,"65,773,341","-69,281",18,"70,482,988"
23,Kanye West,https://kworb.net/spotify/artist/5K4W6rqBFWDnAN6FQUkS6x_albums.html,"65,591,965","17,492",6,"78,581,428"
24,Katy Perry,https://kworb.net/spotify/artist/6jJ0s89eD6GaHleKKya26X_albums.html,"64,615,316","125,985",20,"68,464,762"
25,Calvin Harris,https://kworb.net/spotify/artist/7CajNmpbOovFoOoasH2HaY_albums.html,"63,388,707","-7,195",13,"76,334,289"
26,Post Malone,https://kworb.net/spotify/artist/246dkjvS1zLTtiykXe5h60_albums.html,"63,053,352","10,292",3,"98,466,468"
27,Daddy Yankee,https://kworb.net/spotify/artist/4VMYDCV2IEDYJArk749S6m_albums.html,"62,604,138","46,623",22,"62,604,138"
28,Dua Lipa,https://kworb.net/spotify/artist/6M2wZ9GZgrQXHCFfjv46we_albums.html,"61,921,145","84,785",3,"78,673,675"
29,Lana Del Rey,https://kworb.net/spotify/artist/00FQb4jTyendYWaN8pK0wa_albums.html,"61,454,000","-49,520",22,"64,952,989"
30,Michael Jackson,https://kworb.net/spotify/artist/3fMbdgg4jU18AjLCKBhRSm_albums.html,"61,350,750","-154,002",21,"67,640,541"
31,Travis Scott,https://kworb.net/spotify/artist/0Y5tJX1MQlPlqiwlOH1tJY_albums.html,"59,334,719","-21,585",6,"75,557,671"
32,Chris Brown,https://kworb.net/spotify/artist/7bXgB6jMjp9ATFy66eO08Z_albums.html,"59,288,813","-42,879",25,"60,215,489"
33,Doja Cat,https://kworb.net/spotify/artist/5cj0lLjcoR7YOSnhnX0Po5_albums.html,"58,758,728","-193,491",5,"76,357,864"
34,Pitbull,https://kworb.net/spotify/artist/0TnOYISbd1XYRBk9myaseg_albums.html,"57,643,975","-104,516",24,"66,809,902"
35,Elton John,https://kworb.net/spotify/artist/3PhoLpVuITZKcymswpck5b_albums.html,"57,064,899","454,033",16,"72,669,137"
36,Adele,https://kworb.net/spotify/artist/4dpARuHxo51G3z768sgnrY_albums.html,"56,756,898","-72,960",23,"62,764,213"
37,Imagine Dragons,https://kworb.net/spotify/artist/53XhwfbYqKCa1cC15pYq2q_albums.html,"56,638,026","-154,775",18,"62,801,774"
38,Queen,https://kworb.net/spotify/artist/1dfeR4HaWDbWqFHLkxsg1d_albums.html,"55,249,509","333,144",29,"64,087,998"
39,Tate McRae,https://kworb.net/spotify/artist/45dkTj5sMRSjrmBSBeiHym_albums.html,"54,592,396","-155,751",26,"59,945,963"
40,Arctic Monkeys,https://kworb.net/spotify/artist/7Ln80lUS6He07XvHI8qqHH_albums.html,"54,343,316","80,827",36,"56,618,863"
41,KPop Demon Hunters Cast,https://kworb.net/spotify/artist/7mW7Tv7NvywKKXqafZo0Lc_albums.html,"54,007,868","-242,703",30,"61,126,674"
42,sombr,https://kworb.net/spotify/artist/4G9NDjRyZFDlJKMRL8hx3S_albums.html,"53,409,534","-180,996",29,"59,821,549"
43,Linkin Park,https://kworb.net/spotify/artist/6XyY86QOPPrYVGvF9ch6wz_albums.html,"52,742,858","-74,654",29,"60,369,972"
44,Sam Smith,https://kworb.net/spotify/artist/2wY79sveU1sp5g7SokKOiI_albums.html,"52,613,718","-35,025",7,"73,972,799"
45,Black Eyed Peas,https://kworb.net/spotify/artist/1yxSLGMDHlW21z4YXirZDS_albums.html,"52,578,200","-77,986",28,"61,377,432"
46,BeyoncÃ©,https://kworb.net/spotify/artist/6vWDO969PvNqNYHIOW5v0m_albums.html,"52,576,576","-135,983",6,"78,122,541"
47,Olivia Dean,https://kworb.net/spotify/artist/00x1fYSGhdqScXBRpSj3DW_albums.html,"51,480,331","323,062",47,"51,480,331"
48,Miley Cyrus,https://kworb.net/spotify/artist/5YGY8feqx7naU7z4HrwZM6_albums.html,"50,969,409","-87,670",2,"84,140,935"
49,Shreya Ghoshal,https://kworb.net/spotify/artist/0oOet2f43PA68X5RxKobEy_albums.html,"50,953,514","6,354",48,"51,017,272"
50,Arijit Singh,https://kworb.net/spotify/artist/4YRxDV8wJFPHPTeXepOstw_albums.html,"50,777,339","19,199",50,"50,876,999"
51,Alex Warren,https://kworb.net/spotify/artist/0fTSzq9jAh4c36UVb4V7CB_albums.html,"50,739,732","-90,707",35,"55,736,704"
52,Future,https://kworb.net/spotify/artist/1RyvyyTE3xzB2ZywiAwp0i_albums.html,"50,718,001","29,290",22,"65,628,348"
53,The Neighbourhood,https://kworb.net/spotify/artist/77SW9BnxLY8rJ0RciFqkHh_albums.html,"50,584,683","-103,118",53,"50,960,590"
54,Khalid,https://kworb.net/spotify/artist/6LuN9FCkKOj5PcnpouEgny_albums.html,"50,559,718","-131,466",28,"55,253,946"
55,Rauw Alejandro,https://kworb.net/spotify/artist/1mcTU81TzQhprhouKaTkpq_albums.html,"50,485,986","-103,604",34,"55,799,543"
56,Halsey,https://kworb.net/spotify/artist/26VFTg2z8YR0cCuwLzESi2_albums.html,"50,299,195","2,029",48,"50,611,093"
57,EJAE,https://kworb.net/spotify/artist/0RMJOzHDhAKY1o2j0W0vxY_albums.html,"49,068,933","-216,073",39,"55,600,304"
58,Marshmello,https://kworb.net/spotify/artist/64KEffDW9EtZ1y2vBYgq8T_albums.html,"49,035,121","-54,406",11,"68,947,085"
59,RAYE,https://kworb.net/spotify/artist/5KKpBU5eC2tJDzf0wmlRp2_albums.html,"48,971,144","76,153",59,"48,971,144"
60,REI AMI,https://kworb.net/spotify/artist/6U1dV7aL68N7Gb0Naq34V5_albums.html,"48,767,865","-220,389",41,"55,202,504"
61,Sean Paul,https://kworb.net/spotify/artist/3Isy6kedDrgPYoTS1dazA9_albums.html,"48,556,488","31,775",48,"50,313,773"
62,KAROL G,https://kworb.net/spotify/artist/790FomKkXshlbRYZFtlgla_albums.html,"48,316,755","10,504",21,"63,139,763"
63,Teddy Swims,https://kworb.net/spotify/artist/33qOK5uJ8AR2xuQQAhHump_albums.html,"48,264,058","-32,692",44,"51,616,484"
64,Britney Spears,https://kworb.net/spotify/artist/26dSoYclwsYLMAKD3tpOr4_albums.html,"48,233,197","50,017",48,"54,776,119"
65,HUNTR/X,https://kworb.net/spotify/artist/2yNNYQBChuox9A5Ka93BIn_albums.html,"48,149,814","-221,781",42,"54,529,976"
66,AUDREY NUNA,https://kworb.net/spotify/artist/0Wwji82sLA0Hcvtuak3omb_albums.html,"47,824,037","-217,899",43,"54,291,080"
67,Ozuna,https://kworb.net/spotify/artist/1i8SpTcr7yvPOmcqrbnVXY_albums.html,"47,771,816","27,636",40,"51,532,028"
68,Pritam,https://kworb.net/spotify/artist/1wRPtKGflJrBx9BmLsSwlU_albums.html,"47,439,268","-35,757",65,"48,088,116"
69,Lil Wayne,https://kworb.net/spotify/artist/55Aa2cqylxrFIXC767Z865_albums.html,"47,395,129","44,456",43,"52,904,090"
70,The Chainsmokers,https://kworb.net/spotify/artist/69GGBxA162lTqCwzJG5jLp_albums.html,"47,338,040","-8,400",44,"52,157,060"
71,Shawn Mendes,https://kworb.net/spotify/artist/7n2wHs1TKAczGzO7Dd2rGr_albums.html,"47,022,843","-21,119",45,"49,285,295"
72,Justin Timberlake,https://kworb.net/spotify/artist/31TPClRtHm23RisEBtV3X7_albums.html,"46,878,583","-100,772",57,"49,088,703"
73,OneRepublic,https://kworb.net/spotify/artist/5Pwc4xIPtQLFEnJriah9YJ_albums.html,"46,583,386","-44,263",23,"64,167,172"
74,Fleetwood Mac,https://kworb.net/spotify/artist/08GQAI4eElDnROBrJRGE0X_albums.html,"46,389,065","-148,357",50,"50,975,096"
75,Olivia Rodrigo,https://kworb.net/spotify/artist/1McMsnEElThX1knmY4oliG_albums.html,"46,378,810","-21,151",18,"64,128,148"
76,Benson Boone,https://kworb.net/spotify/artist/22wbnEMDvgVIAGdFeek6ET_albums.html,"46,301,764","-179,065",31,"60,310,612"
77,DJ Snake,https://kworb.net/spotify/artist/540vIaP2JwjQb9dm3aArA4_albums.html,"46,234,972","210,597",73,"46,234,972"
78,Playboi Carti,https://kworb.net/spotify/artist/699OTQXzgjhIYAHMy9RyPD_albums.html,"46,050,020","-50,117",27,"62,424,456"
79,A.R. Rahman,https://kworb.net/spotify/artist/1mYsTxnqsietFxj1OgoGbG_albums.html,"45,994,081","80,109",79,"45,994,081"
80,"Tyler, The Creator",https://kworb.net/spotify/artist/4V8LLVI7PbaPR0K2TGSxFF_albums.html,"45,646,644","-124,964",43,"52,930,766"
81,Charlie Puth,https://kworb.net/spotify/artist/6VuMaDnrHyPL1p4EHjYLi7_albums.html,"45,491,189","-29,602",58,"46,759,626"
82,Nicki Minaj,https://kworb.net/spotify/artist/0hCNtLu0JehylgoiP8L4Gh_albums.html,"45,283,064","-93,217",18,"65,680,733"
83,Radiohead,https://kworb.net/spotify/artist/4Z8W4fKeB5YxbusRsdQVPb_albums.html,"45,282,288","-9,619",76,"45,432,335"
84,Harry Styles,https://kworb.net/spotify/artist/6KImCVD70vtIoJWnq6nGn3_albums.html,"44,478,965","-46,003",13,"66,411,599"
85,Camila Cabello,https://kworb.net/spotify/artist/4nDoRrQiYLoBzwC5BhVJzF_albums.html,"44,332,741","-31,758",57,"48,263,505"
86,Ne-Yo,https://kworb.net/spotify/artist/21E3waRsmPlU7jZsS13rcj_albums.html,"43,286,086","-163,505",74,"44,757,663"
87,Ellie Goulding,https://kworb.net/spotify/artist/0X2BH1fck6amBIoJhDVmmJ_albums.html,"43,145,314","29,971",51,"45,626,754"
88,USHER,https://kworb.net/spotify/artist/23zg3TcAtWQy7J6upgbUnj_albums.html,"42,861,287","-221,548",47,"51,216,038"
89,50 Cent,https://kworb.net/spotify/artist/3q7HBObVc0L8jNeTe5Gofh_albums.html,"42,834,770","-37,670",79,"42,983,530"
90,Metro Boomin,https://kworb.net/spotify/artist/0iEtIxbK0KxaSlF7G42ZOp_albums.html,"42,153,664","-27,882",17,"64,728,517"
91,Don Omar,https://kworb.net/spotify/artist/33ScadVnbm2X8kkUqOkC6Z_albums.html,"42,129,337","-28,198",82,"42,498,390"
92,Maluma,https://kworb.net/spotify/artist/1r4hJ1h58CWwUQe3MxPuau_albums.html,"42,107,036","11,677",56,"47,177,187"
93,One Direction,https://kworb.net/spotify/artist/4AK6F7OLvEQ5QYCBNiQWHq_albums.html,"41,911,975","-77,402",26,"61,154,815"
94,JENNIE,https://kworb.net/spotify/artist/250b0Wlc5Vk0CoUsaCY84M_albums.html,"41,709,306","-2,996",42,"51,284,235"
95,Red Hot Chili Peppers,https://kworb.net/spotify/artist/0L8ExT028jH3ddEcZwqJJ5_albums.html,"41,566,224","-130,884",80,"42,593,962"
96,Hozier,https://kworb.net/spotify/artist/2FXC3k01G6Gw61bmprjgqS_albums.html,"41,466,809","-140,509",32,"57,616,097"
97,Farruko,https://kworb.net/spotify/artist/329e4yvIujISKGKz1BZZbO_albums.html,"41,379,178","-3,515",64,"41,678,122"
98,Tame Impala,https://kworb.net/spotify/artist/5INjqkS1o8h1imAzPqGZBb_albums.html,"41,347,603","-167,142",86,"43,511,404"
99,Selena Gomez,https://kworb.net/spotify/artist/0C8ZW7ezQVs4URX5aX7Kqx_albums.html,"41,018,679","-139,077",22,"58,879,269"
100,Michael BublÃ©,https://kworb.net/spotify/artist/1GxkXlMwML1oSg5eLPiAz3_albums.html,"40,621,898","1,201,193",13,"73,651,203"
101,21 Savage,https://kworb.net/spotify/artist/1URnnhqYAYcrqrcwql10ft_albums.html,"40,323,273","-84,458",17,"66,771,445"
102,ROSALÃA,https://kworb.net/spotify/artist/7ltDVBr6mKbRvohxheJ9h1_albums.html,"40,084,714","111,136",47,"46,715,627"
103,JAY-Z,https://kworb.net/spotify/artist/3nFkdlSjzX9mRTtwJOzDYB_albums.html,"40,025,543","29,534",66,"40,138,386"
104,The Police,https://kworb.net/spotify/artist/5NGO30tJxFlKixkPSgXcFE_albums.html,"39,885,094","123,323",104,"39,885,094"
105,Peso Pluma,https://kworb.net/spotify/artist/12GqGscKJx3aE4t07u7eVZ_albums.html,"39,760,771","-3,757",27,"59,429,724"
106,Gorillaz,https://kworb.net/spotify/artist/3AA28KZvwAUcZuOKwyblJQ_albums.html,"39,673,191","-134,897",54,"42,877,228"
107,Madonna,https://kworb.net/spotify/artist/6tbjWDEIzxoDsBA1FuhfPW_albums.html,"39,618,650","5,211",50,"48,192,778"
108,Fuerza Regida,https://kworb.net/spotify/artist/0ys2OFYzWYB5hRDLCsBqxt_albums.html,"39,597,394","63,947",102,"39,597,394"
109,Daniel Caesar,https://kworb.net/spotify/artist/20wkVLutqVOYrc0kxFs7rA_albums.html,"39,590,810","45,530",69,"44,105,561"
110,Wham!,https://kworb.net/spotify/artist/5lpH0xAS4fVfLkACg9DAuM_albums.html,"39,443,857","1,272,704",13,"81,641,878"
111,Wiz Khalifa,https://kworb.net/spotify/artist/137W8MRPWKqSmrBGDBFSop_albums.html,"38,851,732","29,848",78,"43,003,656"
112,Don Toliver,https://kworb.net/spotify/artist/4Gso3d4CscCijv0lmajZWs_albums.html,"38,691,068","-71,222",79,"42,762,039"
113,Kesha,https://kworb.net/spotify/artist/6LqNN22kT3074XbTVUrhzX_albums.html,"38,396,814","-98,611",56,"51,088,856"
114,Kelly Clarkson,https://kworb.net/spotify/artist/3BmGtnKgCSGYIUhmivXKWX_albums.html,"38,294,096","969,916",29,"64,847,712"
115,The Kid LAROI,https://kworb.net/spotify/artist/2tIP7SsRs7vjIcLrU85W8J_albums.html,"37,940,856","-82,553",50,"46,982,806"
116,Akon,https://kworb.net/spotify/artist/0z4gvV4rjIZ9wHck67ucSV_albums.html,"37,532,986","35,408",113,"37,532,986"
117,Anuel AA,https://kworb.net/spotify/artist/2R21vXR83lH98kGeO99Y66_albums.html,"37,373,403","43,863",83,"37,395,784"
118,ABBA,https://kworb.net/spotify/artist/0LcJLqbBmaGUft1e9Mm8HV_albums.html,"37,098,208","186,908",105,"37,098,208"
119,Sachin-Jigar,https://kworb.net/spotify/artist/1mBydYMVBECdDmMfE2sEUO_albums.html,"36,765,693","-35,794",115,"37,050,005"
120,Flo Rida,https://kworb.net/spotify/artist/0jnsk9HBra6NMjO2oANoPY_albums.html,"36,671,576","-201,106",88,"40,806,713"
121,Frank Sinatra,https://kworb.net/spotify/artist/1Mxqyy3pSjf8kZZL4QVxS0_albums.html,"36,635,782","837,478",33,"61,802,582"
122,The Goo Goo Dolls,https://kworb.net/spotify/artist/2sil8z5kiy4r76CRTXxBCA_albums.html,"36,206,886","-152,029",105,"38,486,480"
123,Nirvana,https://kworb.net/spotify/artist/6olE6TJLqED3rqDCT0FyPh_albums.html,"36,111,879","12,492",122,"36,111,879"
124,Green Day,https://kworb.net/spotify/artist/7oPftvlwr6VrsViSDV7fJY_albums.html,"35,903,812","-102,708",96,"38,399,475"
125,Myke Towers,https://kworb.net/spotify/artist/7iK8PXO48WeuP03g8YR51W_albums.html,"35,891,387","-59,941",48,"47,235,005"
126,AC/DC,https://kworb.net/spotify/artist/711MCceyCBcFnzjGY4Q7Un_albums.html,"35,868,028","-34,598",77,"40,609,655"
127,Alicia Keys,https://kworb.net/spotify/artist/3DiDSECUqqY1AuBP8qtaIa_albums.html,"35,795,351","8,470",101,"36,467,650"
128,Cigarettes After Sex,https://kworb.net/spotify/artist/1QAJqy2dA3ihHBFIHRphZj_albums.html,"35,792,274","13,746",126,"35,792,274"
129,Twenty One Pilots,https://kworb.net/spotify/artist/3YQKmKGau1PzlVlkL1iodx_albums.html,"35,774,088","130,422",116,"35,774,088"
130,Chappell Roan,https://kworb.net/spotify/artist/7GlBOeep6PqTfFi59PTUUN_albums.html,"35,737,903","-124,975",59,"47,355,595"
131,Feid,https://kworb.net/spotify/artist/2LRoIwlKmHjgvigdNGBHNo_albums.html,"35,704,165","20,989",53,"46,407,503"
132,Avicii,https://kworb.net/spotify/artist/1vCWHaC5f2uS3yhpwWbIA6_albums.html,"35,528,127","42,153",68,"43,468,577"
133,Guns N' Roses,https://kworb.net/spotify/artist/3qm84nBOXUEQ2vnTfUTTFC_albums.html,"35,516,712","-61,740",117,"36,387,862"
134,Romeo Santos,https://kworb.net/spotify/artist/5lwmRuXgjX8xIwlnauTZIP_albums.html,"35,433,534","252,906",97,"37,325,349"
135,Diplo,https://kworb.net/spotify/artist/5fMUXHkw8R8eOP2RNVYEZX_albums.html,"35,341,897","-33,671",95,"35,979,312"
136,James Arthur,https://kworb.net/spotify/artist/4IWBUUAFIplrNtaOHcJPRM_albums.html,"35,336,402","-41,044",69,"40,276,141"
137,Gracie Abrams,https://kworb.net/spotify/artist/4tuJ0bMpJh08umKkEXKUI5_albums.html,"35,298,791","-37,876",43,"51,497,815"
138,Disney,https://kworb.net/spotify/artist/3xvaSlT4xsyk6lY1ESOspO_albums.html,"35,216,694","119,784",121,"36,054,080"
139,The MarÃ­as,https://kworb.net/spotify/artist/2sSGPbdZJkaSE2AbcGOACx_albums.html,"35,200,503","-50,377",106,"37,229,305"
140,Grupo Frontera,https://kworb.net/spotify/artist/6XkjpgcEsYab502Vr1bBeW_albums.html,"35,148,919","50,715",64,"39,234,817"
141,A$AP Rocky,https://kworb.net/spotify/artist/13ubrt8QOOCPljQ2FL1Kca_albums.html,"34,957,622","-45,126",91,"38,527,146"
142,Frank Ocean,https://kworb.net/spotify/artist/2h93pZq0e7k5yf4dywlkpM_albums.html,"34,894,015","-9,451",96,"37,385,637"
143,TiÃ«sto,https://kworb.net/spotify/artist/2o5jDhtHVPhrJdv3cEQ99Z_albums.html,"34,730,661","-8,032",38,"53,621,311"
144,Ty Dolla $ign,https://kworb.net/spotify/artist/7c0XG5cIJTrrAgEC3ULPiq_albums.html,"34,388,380","-57,585",40,"52,532,512"
145,BeÃ©le,https://kworb.net/spotify/artist/7a0XAaPaK2aDSqa8p3QnC7_albums.html,"34,332,676","-51,737",94,"39,921,365"
146,Nicky Jam,https://kworb.net/spotify/artist/1SupJlEpv7RS2tPNRaHViT_albums.html,"34,331,036","2,760",110,"37,547,038"
147,Swae Lee,https://kworb.net/spotify/artist/1zNqQNIdeOUZHb8zbZRFMX_albums.html,"34,284,025","-79,348",51,"47,431,521"
148,Zara Larsson,https://kworb.net/spotify/artist/1Xylc3o4UrD53lo9CvFvVg_albums.html,"33,792,652","184,023",148,"33,792,652"
149,Ovy On The Drums,https://kworb.net/spotify/artist/3m5qlPf2OkihLz3dRYnkPA_albums.html,"33,772,919","39,729",99,"38,983,123"
150,Anitta,https://kworb.net/spotify/artist/7FNnA9vBm6EKceENgCGRMb_albums.html,"33,576,951","-124,278",99,"45,678,504"
151,Kali Uchis,https://kworb.net/spotify/artist/1U1el3k54VvEUzo3ybLPlM_albums.html,"33,530,073","-92,058",49,"48,511,206"
152,KATSEYE,https://kworb.net/spotify/artist/3c0gDdb9lhnHGFtP4prQpn_albums.html,"33,469,737","-79,274",145,"34,058,050"
153,Gunna,https://kworb.net/spotify/artist/2hlmm7s2ICUX0LVIhVFlZQ_albums.html,"33,459,569","-75,855",65,"43,236,433"
154,The Beatles,https://kworb.net/spotify/artist/3WrFJ7ztbogyGnTHbHJFl2_albums.html,"33,368,147","-34,407",78,"37,399,629"
155,Bizarrap,https://kworb.net/spotify/artist/716NhGYqD1jl2wI1Qkgq36_albums.html,"33,198,975","152,524",28,"54,300,662"
156,XXXTENTACION,https://kworb.net/spotify/artist/15UsOTVnJzReFVN1VCnxy4_albums.html,"33,197,912","-21,857",67,"42,898,057"
157,Lord Huron,https://kworb.net/spotify/artist/6ltzsmQQbmdoHHbLZ4ZN25_albums.html,"33,170,593","20,582",140,"34,820,218"
158,Tom Odell,https://kworb.net/spotify/artist/2txHhyCwHjUEpJjWrEyqyX_albums.html,"33,164,745","20,334",87,"38,447,142"
159,Amitabh Bhattacharya,https://kworb.net/spotify/artist/2fMqTqiTxUDlmcOEPaQSsx_albums.html,"33,152,137","-63,016",141,"34,328,791"
160,Nelly Furtado,https://kworb.net/spotify/artist/2jw70GZXlAI8QzWeY2bgRc_albums.html,"33,103,413","-109,886",141,"34,576,866"
161,Udit Narayan,https://kworb.net/spotify/artist/70B80Lwx2sxti0M1Ng9e8K_albums.html,"33,094,250","9,511",154,"33,534,705"
162,Irshad Kamil,https://kworb.net/spotify/artist/3GdSQUH1BRtl9UrrtuwJlP_albums.html,"33,047,536","36,251",110,"38,606,762"
163,Manuel Turizo,https://kworb.net/spotify/artist/0tmwSHipWxN12fsoLcFU3B_albums.html,"33,036,997","32,463",66,"39,587,171"
164,Tanishk Bagchi,https://kworb.net/spotify/artist/4f7KfxeHq9BiylGmyXepGt_albums.html,"33,025,489","-42,445",106,"38,964,620"
165,Billy Joel,https://kworb.net/spotify/artist/6zFYqv1mOsgBRQbae3JJ9e_albums.html,"33,022,024","10,630",132,"33,406,304"
166,J. Cole,https://kworb.net/spotify/artist/6l3HvQ5sa6mXTsMTB19rO5_albums.html,"32,935,997","12,081",45,"48,760,887"
167,Morgan Wallen,https://kworb.net/spotify/artist/4oUHIQIBe0LHzYfvXNW4QM_albums.html,"32,778,774","-50,540",59,"46,385,773"
168,Tinashe,https://kworb.net/spotify/artist/0NIIxcxNHmOoyBx03SfTCD_albums.html,"32,705,241","-107,753",152,"33,579,056"
169,Tyla,https://kworb.net/spotify/artist/3SozjO3Lat463tQICI9LcE_albums.html,"32,564,741","445,346",112,"34,775,358"
170,P!nk,https://kworb.net/spotify/artist/1KCSPY1glIKqW2TotWuXOR_albums.html,"32,454,995","39,813",68,"37,814,655"
171,Lewis Capaldi,https://kworb.net/spotify/artist/4GNC7GD6oZMSxPGyXy4MNB_albums.html,"32,404,293","-83,007",66,"37,776,153"
172,Brenda Lee,https://kworb.net/spotify/artist/4cPHsZM98sKzmV26wlwD2W_albums.html,"32,376,839","1,330,782",21,"73,309,610"
173,Charli xcx,https://kworb.net/spotify/artist/25uiPmTg16RbhZWAqwLBy5_albums.html,"31,861,883","-121,596",56,"46,491,335"
174,Laufey,https://kworb.net/spotify/artist/7gW0r5CkdEUMm42w9XpyZO_albums.html,"31,686,943","435,680",89,"43,026,697"
175,Vishal-Shekhar,https://kworb.net/spotify/artist/6Mv8GjQa7LKUGCAqa9qqdb_albums.html,"31,621,538","26,691",160,"31,768,854"
176,Metallica,https://kworb.net/spotify/artist/2ye2Wgw4gimLv2eAKyk1NB_albums.html,"31,532,483","8,011",144,"31,532,483"
177,Pharrell Williams,https://kworb.net/spotify/artist/2RdwBSPQiwcmiDo9kixcl8_albums.html,"31,412,022","16,188",89,"41,485,126"
178,ZAYN,https://kworb.net/spotify/artist/5ZsFI1h6hIdQRw2ti0hz81_albums.html,"31,286,330","-111,938",124,"36,072,526"
179,Anne-Marie,https://kworb.net/spotify/artist/1zNqDE7qDGCsyzJwohVaoX_albums.html,"31,171,939","-76,433",61,"41,501,481"
180,Bebe Rexha,https://kworb.net/spotify/artist/64M6ah0SkkRsnPGtGiRAbb_albums.html,"31,148,982","-29,294",37,"49,496,274"
181,Demi Lovato,https://kworb.net/spotify/artist/6S2OmqARrzebs0tKUEyXyp_albums.html,"31,114,395","-62,797",98,"33,320,815"
182,Bon Jovi,https://kworb.net/spotify/artist/58lV9VcRSjABbAbfWS6skp_albums.html,"31,066,939","6,711",143,"31,750,399"
183,Elvis Presley,https://kworb.net/spotify/artist/43ZHCT0cAZBISjO8DG9PnE_albums.html,"30,791,426","442,834",57,"52,355,319"
184,ROSÃ,https://kworb.net/spotify/artist/3eVa5w3URK5duf6eyVDbu9_albums.html,"30,599,796","-3,656",17,"71,124,800"
185,Enrique Iglesias,https://kworb.net/spotify/artist/7qG3b048QCHVRO5Pv1T5lw_albums.html,"30,483,990",-124,122,"35,272,755"
186,Atif Aslam,https://kworb.net/spotify/artist/2oSONSC9zQ4UonDKnLqksx_albums.html,"30,425,840","44,711",185,"30,425,840"
187,Juice WRLD,https://kworb.net/spotify/artist/4MCBfE4596Uoi2O4DtmEMz_albums.html,"30,385,848","35,198",92,"39,483,073"
188,Ava Max,https://kworb.net/spotify/artist/4npEfmQ6YuiwW1GpUmaq3F_albums.html,"30,376,748","1,579",85,"42,954,408"
189,Lil Baby,https://kworb.net/spotify/artist/5f7VJjfbwm532GiveGC0ZK_albums.html,"30,296,206","105,088",76,"41,194,598"
190,Eagles,https://kworb.net/spotify/artist/0ECwFtbIWEVNwjlrfc6xoL_albums.html,"30,205,887","385,831",104,"38,461,042"
191,Empire Of The Sun,https://kworb.net/spotify/artist/67hb7towEyKvt5Z8Bx306c_albums.html,"30,120,475","-45,925",121,"35,337,797"
