rank,artist_name,artist_url,listeners,daily_change,peak_rank,peak_listeners
1,The Weeknd,https://kworb.net/spotify/artist/1Xyo4u8uXC1ZmMpatF05PJ_albums.html,"120,922,872","-368,458",1,"126,192,069"
2,Bruno Mars,https://kworb.net/spotify/artist/0du5cEVh5yTK9QJze8zA0C_albums.html,"114,446,832","-147,889",1,"151,079,821"
3,Taylor Swift,https://kworb.net/spotify/artist/06HL4z0CvFAxyc27GXpf02_albums.html,"105,378,540","153,944",1,"116,229,071"
4,Justin Bieber,https://kworb.net/spotify/artist/1uNFoZAHBGtllmzznpCI3s_albums.html,"104,471,101","727,067",3,"104,471,101"
5,Ariana Grande,https://kworb.net/spotify/artist/66CXWjxzNUsdJxJ2JdwvnR_albums.html,"100,885,328","1,265,866",2,"123,700,287"
6,Rihanna,https://kworb.net/spotify/artist/5pKCCKE2ajJHZ9KAiaK11H_albums.html,"100,428,505","-351,558",2,"102,670,137"
7,Lady Gaga,https://kworb.net/spotify/artist/1HY2Jd0NmPuamShAr6KMms_albums.html,"98,585,107","-785,901",2,"124,637,761"
8,Ed Sheeran,https://kworb.net/spotify/artist/6eUKZXaKkcviH0Ku9w2n3V_albums.html,"96,901,746","297,439",2,"100,809,268"
9,Billie Eilish,https://kworb.net/spotify/artist/6qqNVTkY8uBg9cP3Jd7DAH_albums.html,"93,314,919","-547,704",1,"108,297,865"
10,Coldplay,https://kworb.net/spotify/artist/4gzpq5DPGxSnKTe4SA8HAU_albums.html,"93,070,247","196,912",4,"98,296,633"
11,Drake,https://kworb.net/spotify/artist/3TVXtAsR1Inumwj472S9r4_albums.html,"80,933,914","11,140",3,"86,591,246"
12,Bad Bunny,https://kworb.net/spotify/artist/4q3ewBCX7sLwd24euuV69X_albums.html,"77,988,229","-116,443",3,"95,350,887"
13,David Guetta,https://kworb.net/spotify/artist/1Cs0zKBU1kc0i8ypK3B9ai_albums.html,"76,578,883","-243,310",4,"82,747,865"
14,Sia,https://kworb.net/spotify/artist/5WUlDfRSoLAfcVSX1WnrxN_albums.html,"74,225,763","906,783",8,"93,545,630"
15,Sabrina Carpenter,https://kworb.net/spotify/artist/74KM79TiuVKeVCqs8QtB0B_albums.html,"73,457,472","236,683",4,"90,844,193"
16,Maroon 5,https://kworb.net/spotify/artist/04gDigrS5kc9YWfZHwBETP_albums.html,"73,265,354","92,024",14,"75,143,583"
17,Eminem,https://kworb.net/spotify/artist/7dGJo4pcD2V6oG8kP0tJRR_albums.html,"71,934,138","54,453",5,"86,389,533"
18,Kendrick Lamar,https://kworb.net/spotify/artist/2YZyLoL8N0Wb9xBt1NhZWg_albums.html,"70,570,838","-53,562",4,"112,091,210"
19,Shakira,https://kworb.net/spotify/artist/0EmeFodog0BfCgMzAIvKQp_albums.html,"67,618,277","-177,933",3,"82,268,835"
20,SZA,https://kworb.net/spotify/artist/7tYKF4w9nC0nq9CsPZTHyP_albums.html,"67,318,734","-160,119",6,"97,852,020"
21,J Balvin,https://kworb.net/spotify/artist/1vyhD5VmyZ7KMfW5gqLgo5_albums.html,"65,727,435","-121,104",18,"70,482,988"
22,Kanye West,https://kworb.net/spotify/artist/5K4W6rqBFWDnAN6FQUkS6x_albums.html,"65,623,251","-70,535",6,"78,581,428"
23,Katy Perry,https://kworb.net/spotify/artist/6jJ0s89eD6GaHleKKya26X_albums.html,"64,191,856","-38,184",20,"68,464,762"
24,Calvin Harris,https://kworb.net/spotify/artist/7CajNmpbOovFoOoasH2HaY_albums.html,"63,569,265","-240,545",13,"76,334,289"
25,Post Malone,https://kworb.net/spotify/artist/246dkjvS1zLTtiykXe5h60_albums.html,"62,992,086","67,613",3,"98,466,468"
26,Daddy Yankee,https://kworb.net/spotify/artist/4VMYDCV2IEDYJArk749S6m_albums.html,"62,277,666","74,931",22,"62,277,666"
27,Michael Jackson,https://kworb.net/spotify/artist/3fMbdgg4jU18AjLCKBhRSm_albums.html,"62,071,066","-1,396,429",21,"67,640,541"
28,Dua Lipa,https://kworb.net/spotify/artist/6M2wZ9GZgrQXHCFfjv46we_albums.html,"61,798,199","28,945",3,"78,673,675"
29,Mariah Carey,https://kworb.net/spotify/artist/4iHNK0tOyZPYnBU7nGAgpQ_albums.html,"61,563,388","1,768,692",5,"100,610,625"
30,Lana Del Rey,https://kworb.net/spotify/artist/00FQb4jTyendYWaN8pK0wa_albums.html,"61,560,825","-267,459",22,"64,952,989"
31,Travis Scott,https://kworb.net/spotify/artist/0Y5tJX1MQlPlqiwlOH1tJY_albums.html,"59,517,890","-133,926",6,"75,557,671"
32,Chris Brown,https://kworb.net/spotify/artist/7bXgB6jMjp9ATFy66eO08Z_albums.html,"59,511,823","-88,982",25,"60,215,489"
33,Doja Cat,https://kworb.net/spotify/artist/5cj0lLjcoR7YOSnhnX0Po5_albums.html,"59,318,619","-142,010",5,"76,357,864"
34,Pitbull,https://kworb.net/spotify/artist/0TnOYISbd1XYRBk9myaseg_albums.html,"58,164,309","-392,102",24,"66,809,902"
35,Imagine Dragons,https://kworb.net/spotify/artist/53XhwfbYqKCa1cC15pYq2q_albums.html,"56,980,327","-285,356",18,"62,801,774"
36,Adele,https://kworb.net/spotify/artist/4dpARuHxo51G3z768sgnrY_albums.html,"56,823,150","56,469",23,"62,764,213"
37,Tate McRae,https://kworb.net/spotify/artist/45dkTj5sMRSjrmBSBeiHym_albums.html,"55,037,609","-7,197",26,"59,945,963"
38,Elton John,https://kworb.net/spotify/artist/3PhoLpVuITZKcymswpck5b_albums.html,"54,989,884","805,863",16,"72,669,137"
39,KPop Demon Hunters Cast,https://kworb.net/spotify/artist/7mW7Tv7NvywKKXqafZo0Lc_albums.html,"54,806,103","-514,243",30,"61,126,674"
40,Arctic Monkeys,https://kworb.net/spotify/artist/7Ln80lUS6He07XvHI8qqHH_albums.html,"54,190,878","50,306",36,"56,618,863"
41,Queen,https://kworb.net/spotify/artist/1dfeR4HaWDbWqFHLkxsg1d_albums.html,"53,886,273","513,306",29,"64,087,998"
42,sombr,https://kworb.net/spotify/artist/4G9NDjRyZFDlJKMRL8hx3S_albums.html,"53,867,429","-110,713",29,"59,821,549"
43,Linkin Park,https://kworb.net/spotify/artist/6XyY86QOPPrYVGvF9ch6wz_albums.html,"52,947,034","-90,573",29,"60,369,972"
44,Beyonc̩,https://kworb.net/spotify/artist/6vWDO969PvNqNYHIOW5v0m_albums.html,"52,852,019","-204,067",6,"78,122,541"
45,Black Eyed Peas,https://kworb.net/spotify/artist/1yxSLGMDHlW21z4YXirZDS_albums.html,"52,711,502","-125,458",28,"61,377,432"
46,Sam Smith,https://kworb.net/spotify/artist/2wY79sveU1sp5g7SokKOiI_albums.html,"52,479,126","-55,414",7,"73,972,799"
47,Miley Cyrus,https://kworb.net/spotify/artist/5YGY8feqx7naU7z4HrwZM6_albums.html,"51,150,796","-23,979",2,"84,140,935"
48,Alex Warren,https://kworb.net/spotify/artist/0fTSzq9jAh4c36UVb4V7CB_albums.html,"50,974,543","-81,077",35,"55,736,704"
49,Shreya Ghoshal,https://kworb.net/spotify/artist/0oOet2f43PA68X5RxKobEy_albums.html,"50,935,629","20,021",49,"51,017,272"
