rank,artist_name,track_name,daily_streams,streams_plus,seven_day,seven_day_plus,total_streams,artist_url,track_url
1,Brenda Lee,Rockin' Around The Christmas Tree,"1,730,902","-2,808","12,165,069","+480,432","489,998,986",https://kworb.net/spotify/artist/4cPHsZM98sKzmV26wlwD2W_albums.html,https://kworb.net/spotify/track/2EjXfH91m7f8HiJN1yQg97.html
2,Bobby Helms,Jingle Bell Rock,"1,449,624","+8,084","10,164,533","+441,627","418,388,220",https://kworb.net/spotify/artist/38EmEgXkgK51MT2tPY0EoC_albums.html,https://kworb.net/spotify/track/7vQbuQcyTflfCIOu3Uzzya.html
3,Mariah Carey,All I Want for Christmas Is You,"1,443,556","-27,035","10,271,018","+355,176","500,848,419",https://kworb.net/spotify/artist/4iHNK0tOyZPYnBU7nGAgpQ_albums.html,https://kworb.net/spotify/track/0bYg9bo50gSsH3LtXe2SQn.html
4,Wham!,Last Christmas,"1,354,768","-10,565","9,357,165","+413,074","364,285,815",https://kworb.net/spotify/artist/5lpH0xAS4fVfLkACg9DAuM_albums.html,https://kworb.net/spotify/track/2FRnf9qhLbvw8fu4IBXx78.html
5,HUNTR/X,"Golden (w/ Ejae, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast)","1,164,214","+35,897","7,614,632","+108,960","267,251,433",https://kworb.net/spotify/artist/2yNNYQBChuox9A5Ka93BIn_albums.html,https://kworb.net/spotify/track/1CPZ5BxNNd0n0nF4Orb9JS.html
6,Taylor Swift,The Fate of Ophelia,"1,139,468","-68,940","7,636,239","+30,986","156,454,738",https://kworb.net/spotify/artist/06HL4z0CvFAxyc27GXpf02_albums.html,https://kworb.net/spotify/track/53iuhJlwXhSER5J2IYYv1W.html
7,Nat King Cole,The Christmas Song (Merry Christmas To You),"1,129,065","-8,805","8,066,345","+298,159","241,785,983",https://kworb.net/spotify/artist/7v4imS0moSyGdXyLgVTIV7_albums.html,https://kworb.net/spotify/track/4PS1e8f2LvuTFgUs1Cn3ON.html
8,Andy Williams,It's the Most Wonderful Time of the Year,"1,126,534","+4,735","8,371,231","+189,969","347,173,011",https://kworb.net/spotify/artist/4sj6D0zlMOl25nprDJBiU9_albums.html,https://kworb.net/spotify/track/1IcR6RlgvDczfvoWJSSY2A.html
9,Dean Martin,Let It Snow! Let It Snow! Let It Snow!,"1,117,350","-10,623","7,943,480","+333,597","232,117,665",https://kworb.net/spotify/artist/49e4v89VmlDcFCMyDv9wQ9_albums.html,https://kworb.net/spotify/track/2uFaJJtFpPDc5Pa95XzTvg.html
10,Olivia Dean,Man I Need,"1,084,575","-17,610","7,328,220","-52,758","107,312,685",https://kworb.net/spotify/artist/00x1fYSGhdqScXBRpSj3DW_albums.html,https://kworb.net/spotify/track/1qbmS6ep2hbBRaEZFpn7BX.html
11,Ariana Grande,Santa Tell Me,"1,068,493","-17,919","7,541,431","+282,247","302,901,490",https://kworb.net/spotify/artist/66CXWjxzNUsdJxJ2JdwvnR_albums.html,https://kworb.net/spotify/track/0lizgQ7Qw35od7CYaoMBZb.html
12,Kelly Clarkson,Underneath the Tree,"1,020,319","-11,697","7,143,298","+306,232","218,366,824",https://kworb.net/spotify/artist/3BmGtnKgCSGYIUhmivXKWX_albums.html,https://kworb.net/spotify/track/3nAp4IvdMPPWEH9uuXFFV5.html
13,The Ronettes,Sleigh Ride,"1,010,897","+9,353","7,175,501","+277,224","198,813,653",https://kworb.net/spotify/artist/7CyeXFnOrfC1N6z4naIpgo_albums.html,https://kworb.net/spotify/track/7fUYUcWy853HS8YJn0b3Sr.html
14,Michael Bubl̩,It's Beginning to Look a Lot Like Christmas,"986,691","-7,983","6,945,132","+281,776","291,296,232",https://kworb.net/spotify/artist/1GxkXlMwML1oSg5eLPiAz3_albums.html,https://kworb.net/spotify/track/0lLdorYw7lVrJydTINhWdI.html
15,sombr,back to friends,"951,009","+46,191","5,525,492","+320,306","256,719,221",https://kworb.net/spotify/artist/4G9NDjRyZFDlJKMRL8hx3S_albums.html,https://kworb.net/spotify/track/0FTmksd2dxiE5e3rWyJXs6.html
16,Alex Warren,Ordinary,"942,042","+47,062","5,613,292","+151,790","299,497,376",https://kworb.net/spotify/artist/0fTSzq9jAh4c36UVb4V7CB_albums.html,https://kworb.net/spotify/track/2RkZ5LkEzeHGRsmDqKwmaJ.html
17,Darlene Love,Christmas (Baby Please Come Home),"917,418","-3,407","6,663,011","+219,842","149,667,958",https://kworb.net/spotify/artist/391oLRVmoTkumiN79HkTWu_albums.html,https://kworb.net/spotify/track/47ohYW8e7dxCYn9qbUMBCI.html
