rank,artist_name,artist_url,listeners,daily_change,peak_rank,peak_listeners
1,The Weeknd,https://kworb.net/spotify/artist/1Xyo4u8uXC1ZmMpatF05PJ_songs.html,"123,014,423","-128,193",1,"126,192,069"
2,Bruno Mars,https://kworb.net/spotify/artist/0du5cEVh5yTK9QJze8zA0C_songs.html,"114,181,874","-97,344",1,"151,079,821"
3,Taylor Swift,https://kworb.net/spotify/artist/06HL4z0CvFAxyc27GXpf02_songs.html,"105,402,349","31,979",1,"116,229,071"
4,Rihanna,https://kworb.net/spotify/artist/5pKCCKE2ajJHZ9KAiaK11H_songs.html,"102,390,687","-11,211",2,"102,670,137"
5,Lady Gaga,https://kworb.net/spotify/artist/1HY2Jd0NmPuamShAr6KMms_songs.html,"101,627,479","-30,898",2,"124,637,761"
6,Justin Bieber,https://kworb.net/spotify/artist/1uNFoZAHBGtllmzznpCI3s_songs.html,"100,251,236","212,118",3,"104,411,890"
7,Ed Sheeran,https://kworb.net/spotify/artist/6eUKZXaKkcviH0Ku9w2n3V_songs.html,"96,112,702","134,293",2,"100,809,268"
8,Billie Eilish,https://kworb.net/spotify/artist/6qqNVTkY8uBg9cP3Jd7DAH_songs.html,"94,950,901","-11,723",1,"108,297,865"
9,Ariana Grande,https://kworb.net/spotify/artist/66CXWjxzNUsdJxJ2JdwvnR_songs.html,"91,716,984","410,609",2,"123,700,287"
10,Coldplay,https://kworb.net/spotify/artist/4gzpq5DPGxSnKTe4SA8HAU_songs.html,"91,601,492","40,069",4,"98,296,633"
11,Drake,https://kworb.net/spotify/artist/3TVXtAsR1Inumwj472S9r4_songs.html,"81,222,801","70,106",3,"86,591,246"
12,Bad Bunny,https://kworb.net/spotify/artist/4q3ewBCX7sLwd24euuV69X_songs.html,"79,062,853","-49,984",3,"95,350,887"
13,David Guetta,https://kworb.net/spotify/artist/1Cs0zKBU1kc0i8ypK3B9ai_songs.html,"78,439,226","-74,472",4,"82,747,865"
14,Sabrina Carpenter,https://kworb.net/spotify/artist/74KM79TiuVKeVCqs8QtB0B_songs.html,"72,522,222","-4,848",4,"90,844,193"
15,Maroon 5,https://kworb.net/spotify/artist/04gDigrS5kc9YWfZHwBETP_songs.html,"72,303,070","39,596",15,"75,143,583"
16,Eminem,https://kworb.net/spotify/artist/7dGJo4pcD2V6oG8kP0tJRR_songs.html,"71,968,817","65,770",5,"86,389,533"
17,Kendrick Lamar,https://kworb.net/spotify/artist/2YZyLoL8N0Wb9xBt1NhZWg_songs.html,"70,951,995","-72,775",4,"112,091,210"
18,Shakira,https://kworb.net/spotify/artist/0EmeFodog0BfCgMzAIvKQp_songs.html,"69,807,523","20,186",3,"82,268,835"
19,Sia,https://kworb.net/spotify/artist/5WUlDfRSoLAfcVSX1WnrxN_songs.html,"68,667,585","238,812",8,"93,545,630"
20,SZA,https://kworb.net/spotify/artist/7tYKF4w9nC0nq9CsPZTHyP_songs.html,"68,562,919","-106,456",6,"97,852,020"
21,Michael Jackson,https://kworb.net/spotify/artist/3fMbdgg4jU18AjLCKBhRSm_songs.html,"67,379,448","138,269",21,"67,379,448"
22,J Balvin,https://kworb.net/spotify/artist/1vyhD5VmyZ7KMfW5gqLgo5_songs.html,"66,433,250","-12,362",18,"70,482,988"
23,Kanye West,https://kworb.net/spotify/artist/5K4W6rqBFWDnAN6FQUkS6x_songs.html,"65,761,994","8,767",6,"78,581,428"
24,Calvin Harris,https://kworb.net/spotify/artist/7CajNmpbOovFoOoasH2HaY_songs.html,"65,384,969","-159,751",13,"76,334,289"
25,Katy Perry,https://kworb.net/spotify/artist/6jJ0s89eD6GaHleKKya26X_songs.html,"63,550,563","128,395",20,"68,464,762"
26,Lana Del Rey,https://kworb.net/spotify/artist/00FQb4jTyendYWaN8pK0wa_songs.html,"62,736,644","11,886",22,"64,952,989"
27,Dua Lipa,https://kworb.net/spotify/artist/6M2wZ9GZgrQXHCFfjv46we_songs.html,"61,781,305","-2,688",3,"78,673,675"
28,Post Malone,https://kworb.net/spotify/artist/246dkjvS1zLTtiykXe5h60_songs.html,"61,720,308","-41,948",3,"98,466,468"
29,Doja Cat,https://kworb.net/spotify/artist/5cj0lLjcoR7YOSnhnX0Po5_songs.html,"60,701,861","-49,577",5,"76,357,864"
