rank,artist_name,track_name,daily_streams,streams_plus,seven_day,seven_day_plus,total_streams,artist_url,track_url
1,Brenda Lee,Rockin' Around The Christmas Tree,"1,768,698","+13,758","11,103,316","+839,528","486,534,374",https://kworb.net/spotify/artist/4cPHsZM98sKzmV26wlwD2W_albums.html,https://kworb.net/spotify/track/2EjXfH91m7f8HiJN1yQg97.html
2,Mariah Carey,All I Want for Christmas Is You,"1,488,451",-203,"9,477,135","+605,840","497,934,272",https://kworb.net/spotify/artist/4iHNK0tOyZPYnBU7nGAgpQ_albums.html,https://kworb.net/spotify/track/0bYg9bo50gSsH3LtXe2SQn.html
3,Bobby Helms,Jingle Bell Rock,"1,477,451",+164,"9,237,961","+673,012","415,497,056",https://kworb.net/spotify/artist/38EmEgXkgK51MT2tPY0EoC_albums.html,https://kworb.net/spotify/track/7vQbuQcyTflfCIOu3Uzzya.html
4,Wham!,Last Christmas,"1,394,689","+7,831","8,486,053","+611,395","361,565,714",https://kworb.net/spotify/artist/5lpH0xAS4fVfLkACg9DAuM_albums.html,https://kworb.net/spotify/track/2FRnf9qhLbvw8fu4IBXx78.html
5,Dean Martin,Let It Snow! Let It Snow! Let It Snow!,"1,177,962","+23,791","7,211,856","+567,223","229,872,342",https://kworb.net/spotify/artist/49e4v89VmlDcFCMyDv9wQ9_albums.html,https://kworb.net/spotify/track/2uFaJJtFpPDc5Pa95XzTvg.html
6,Nat King Cole,The Christmas Song (Merry Christmas To You),"1,162,678","-7,858","7,387,083","+538,372","239,519,048",https://kworb.net/spotify/artist/7v4imS0moSyGdXyLgVTIV7_albums.html,https://kworb.net/spotify/track/4PS1e8f2LvuTFgUs1Cn3ON.html
7,Andy Williams,It's the Most Wonderful Time of the Year,"1,137,800","-1,198","7,877,734","+484,557","344,924,678",https://kworb.net/spotify/artist/4sj6D0zlMOl25nprDJBiU9_albums.html,https://kworb.net/spotify/track/1IcR6RlgvDczfvoWJSSY2A.html
8,Ariana Grande,Santa Tell Me,"1,111,379","+5,253","6,944,910","+451,466","300,746,585",https://kworb.net/spotify/artist/66CXWjxzNUsdJxJ2JdwvnR_albums.html,https://kworb.net/spotify/track/0lizgQ7Qw35od7CYaoMBZb.html
9,Taylor Swift,The Fate of Ophelia,"1,098,349","-21,813","7,826,521","-257,408","154,106,862",https://kworb.net/spotify/artist/06HL4z0CvFAxyc27GXpf02_albums.html,https://kworb.net/spotify/track/53iuhJlwXhSER5J2IYYv1W.html
10,Olivia Dean,Man I Need,"1,073,842","-40,542","7,684,116","-261,958","105,125,925",https://kworb.net/spotify/artist/00x1fYSGhdqScXBRpSj3DW_albums.html,https://kworb.net/spotify/track/1qbmS6ep2hbBRaEZFpn7BX.html
11,HUNTR/X,"Golden (w/ Ejae, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast)","1,072,518","+1,848","7,553,726","-51,866","264,958,902",https://kworb.net/spotify/artist/2yNNYQBChuox9A5Ka93BIn_albums.html,https://kworb.net/spotify/track/1CPZ5BxNNd0n0nF4Orb9JS.html
12,Kelly Clarkson,Underneath the Tree,"1,050,268","-9,356","6,551,306","+417,665","216,314,489",https://kworb.net/spotify/artist/3BmGtnKgCSGYIUhmivXKWX_albums.html,https://kworb.net/spotify/track/3nAp4IvdMPPWEH9uuXFFV5.html
13,Michael Bubl̩,It's Beginning to Look a Lot Like Christmas,"1,024,731","+7,781","6,331,739","+463,479","289,314,867",https://kworb.net/spotify/artist/1GxkXlMwML1oSg5eLPiAz3_albums.html,https://kworb.net/spotify/track/0lLdorYw7lVrJydTINhWdI.html
14,The Ronettes,Sleigh Ride,"1,012,693","-1,014","6,574,081","+446,174","196,801,212",https://kworb.net/spotify/artist/7CyeXFnOrfC1N6z4naIpgo_albums.html,https://kworb.net/spotify/track/7fUYUcWy853HS8YJn0b3Sr.html
15,Darlene Love,Christmas (Baby Please Come Home),"933,021","-3,961","6,142,761","+416,052","147,829,715",https://kworb.net/spotify/artist/391oLRVmoTkumiN79HkTWu_albums.html,https://kworb.net/spotify/track/47ohYW8e7dxCYn9qbUMBCI.html
16,Michael Bubl̩,Holly Jolly Christmas,"892,788","-21,849","6,149,777","+339,484","203,582,225",https://kworb.net/spotify/artist/1GxkXlMwML1oSg5eLPiAz3_albums.html,https://kworb.net/spotify/track/6tjituizSxwSmBB5vtgHZE.html
17,Bing Crosby,"White Christmas - 1947 Version (w/ Ken Darby Singers, John Scott Trotter & His Orchestra)","837,514","+13,071","5,307,801","+414,874","39,117,286",https://kworb.net/spotify/artist/6ZjFtWeHP9XN7FeKSUe80S_albums.html,https://kworb.net/spotify/track/3XsaSIPWvM61RIFfeb0BBR.html
18,Olivia Dean,So Easy (To Fall In Love),"835,246","-46,100","5,906,529","-169,183","49,500,003",https://kworb.net/spotify/artist/00x1fYSGhdqScXBRpSj3DW_albums.html,https://kworb.net/spotify/track/6sGIMrtIzQjdzNndVxe397.html
19,Jos̩ Feliciano,Feliz Navidad,"803,854","+1,466","5,245,818","+381,755","214,598,545",https://kworb.net/spotify/artist/7K78lVZ8XzkjfRSI7570FF_albums.html,https://kworb.net/spotify/track/3qCeq0rWK67SoBDgFd2sId.html
