rank,artist_name,artist_url,listeners,daily_change,peak_rank,peak_listeners
44,Sam Smith,https://kworb.net/spotify/artist/2wY79sveU1sp5g7SokKOiI_albums.html,"52,671,099","7,391",7,"73,972,799"
45,BeyoncÃ©,https://kworb.net/spotify/artist/6vWDO969PvNqNYHIOW5v0m_albums.html,"52,503,143","-20,696",6,"78,122,541"
46,Black Eyed Peas,https://kworb.net/spotify/artist/1yxSLGMDHlW21z4YXirZDS_albums.html,"52,481,267","-49,705",28,"61,377,432"
47,Olivia Dean,https://kworb.net/spotify/artist/00x1fYSGhdqScXBRpSj3DW_albums.html,"51,997,677","257,282",47,"51,997,677"
48,Miley Cyrus,https://kworb.net/spotify/artist/5YGY8feqx7naU7z4HrwZM6_albums.html,"51,014,213","20,479",2,"84,140,935"
49,Shreya Ghoshal,https://kworb.net/spotify/artist/0oOet2f43PA68X5RxKobEy_albums.html,"50,986,142","51,659",48,"51,017,272"
50,Alex Warren,https://kworb.net/spotify/artist/0fTSzq9jAh4c36UVb4V7CB_albums.html,"50,983,320","151,018",35,"55,736,704"
51,Future,https://kworb.net/spotify/artist/1RyvyyTE3xzB2ZywiAwp0i_albums.html,"50,963,996","154,024",22,"65,628,348"
52,Arijit Singh,https://kworb.net/spotify/artist/4YRxDV8wJFPHPTeXepOstw_albums.html,"50,957,934","73,096",50,"50,957,934"
53,Rauw Alejandro,https://kworb.net/spotify/artist/1mcTU81TzQhprhouKaTkpq_albums.html,"50,535,752","59,851",34,"55,799,543"
54,Khalid,https://kworb.net/spotify/artist/6LuN9FCkKOj5PcnpouEgny_albums.html,"50,481,487","-6,224",28,"55,253,946"
55,The Neighbourhood,https://kworb.net/spotify/artist/77SW9BnxLY8rJ0RciFqkHh_albums.html,"50,390,296","-143,863",53,"50,960,590"
56,Halsey,https://kworb.net/spotify/artist/26VFTg2z8YR0cCuwLzESi2_albums.html,"50,370,346","54,473",48,"50,611,093"
57,RAYE,https://kworb.net/spotify/artist/5KKpBU5eC2tJDzf0wmlRp2_albums.html,"49,190,631","115,157",57,"49,190,631"
58,Marshmello,https://kworb.net/spotify/artist/64KEffDW9EtZ1y2vBYgq8T_albums.html,"48,933,707","-56,105",11,"68,947,085"
59,EJAE,https://kworb.net/spotify/artist/0RMJOzHDhAKY1o2j0W0vxY_albums.html,"48,907,205","-65,280",39,"55,600,304"
60,Sean Paul,https://kworb.net/spotify/artist/3Isy6kedDrgPYoTS1dazA9_albums.html,"48,674,091","102,643",48,"50,313,773"
61,Britney Spears,https://kworb.net/spotify/artist/26dSoYclwsYLMAKD3tpOr4_albums.html,"48,646,380","194,688",48,"54,776,119"
62,REI AMI,https://kworb.net/spotify/artist/6U1dV7aL68N7Gb0Naq34V5_albums.html,"48,607,210","-50,301",41,"55,202,504"
63,Teddy Swims,https://kworb.net/spotify/artist/33qOK5uJ8AR2xuQQAhHump_albums.html,"48,465,910","128,360",44,"51,616,484"
64,KAROL G,https://kworb.net/spotify/artist/790FomKkXshlbRYZFtlgla_albums.html,"48,433,894","87,474",21,"63,139,763"
65,HUNTR/X,https://kworb.net/spotify/artist/2yNNYQBChuox9A5Ka93BIn_albums.html,"47,998,125","-61,129",42,"54,529,976"
66,Ozuna,https://kworb.net/spotify/artist/1i8SpTcr7yvPOmcqrbnVXY_albums.html,"47,894,222","49,543",40,"51,532,028"
67,AUDREY NUNA,https://kworb.net/spotify/artist/0Wwji82sLA0Hcvtuak3omb_albums.html,"47,688,090","-44,554",43,"54,291,080"
68,Lil Wayne,https://kworb.net/spotify/artist/55Aa2cqylxrFIXC767Z865_albums.html,"47,521,754","72,328",43,"52,904,090"
69,Pritam,https://kworb.net/spotify/artist/1wRPtKGflJrBx9BmLsSwlU_albums.html,"47,346,011",919,65,"48,088,116"
70,The Chainsmokers,https://kworb.net/spotify/artist/69GGBxA162lTqCwzJG5jLp_albums.html,"47,232,866","-26,950",44,"52,157,060"
71,Shawn Mendes,https://kworb.net/spotify/artist/7n2wHs1TKAczGzO7Dd2rGr_albums.html,"47,053,379","15,131",45,"49,285,295"
72,Justin Timberlake,https://kworb.net/spotify/artist/31TPClRtHm23RisEBtV3X7_albums.html,"46,752,440","-80,549",57,"49,088,703"
73,Playboi Carti,https://kworb.net/spotify/artist/699OTQXzgjhIYAHMy9RyPD_albums.html,"46,635,748","359,417",27,"62,424,456"
74,Olivia Rodrigo,https://kworb.net/spotify/artist/1McMsnEElThX1knmY4oliG_albums.html,"46,569,633","102,444",18,"64,128,148"
75,OneRepublic,https://kworb.net/spotify/artist/5Pwc4xIPtQLFEnJriah9YJ_albums.html,"46,545,368","-8,098",23,"64,167,172"
76,Fleetwood Mac,https://kworb.net/spotify/artist/08GQAI4eElDnROBrJRGE0X_albums.html,"46,412,849","41,282",50,"50,975,096"
77,DJ Snake,https://kworb.net/spotify/artist/540vIaP2JwjQb9dm3aArA4_albums.html,"46,346,676","53,770",73,"46,346,676"
78,Benson Boone,https://kworb.net/spotify/artist/22wbnEMDvgVIAGdFeek6ET_albums.html,"46,304,746","65,559",31,"60,310,612"
79,A.R. Rahman,https://kworb.net/spotify/artist/1mYsTxnqsietFxj1OgoGbG_albums.html,"46,203,962","93,827",79,"46,203,962"
80,"Tyler, The Creator",https://kworb.net/spotify/artist/4V8LLVI7PbaPR0K2TGSxFF_albums.html,"45,696,978","72,271",43,"52,930,766"
81,Charlie Puth,https://kworb.net/spotify/artist/6VuMaDnrHyPL1p4EHjYLi7_albums.html,"45,515,258","15,280",58,"46,759,626"
82,Radiohead,https://kworb.net/spotify/artist/4Z8W4fKeB5YxbusRsdQVPb_albums.html,"45,392,623","83,728",76,"45,432,335"
83,Nicki Minaj,https://kworb.net/spotify/artist/0hCNtLu0JehylgoiP8L4Gh_albums.html,"45,179,781","-29,069",18,"65,680,733"
84,Harry Styles,https://kworb.net/spotify/artist/6KImCVD70vtIoJWnq6nGn3_albums.html,"44,568,962","5,679",13,"66,411,599"
85,Camila Cabello,https://kworb.net/spotify/artist/4nDoRrQiYLoBzwC5BhVJzF_albums.html,"44,423,262","39,085",57,"48,263,505"
86,Ellie Goulding,https://kworb.net/spotify/artist/0X2BH1fck6amBIoJhDVmmJ_albums.html,"43,049,340","-43,223",51,"45,626,754"
87,Ne-Yo,https://kworb.net/spotify/artist/21E3waRsmPlU7jZsS13rcj_albums.html,"42,972,753","-124,755",74,"44,757,663"
88,50 Cent,https://kworb.net/spotify/artist/3q7HBObVc0L8jNeTe5Gofh_albums.html,"42,887,486","14,740",79,"42,983,530"
89,Michael BublÃ©,https://kworb.net/spotify/artist/1GxkXlMwML1oSg5eLPiAz3_albums.html,"42,757,079","1,010,011",13,"73,651,203"
90,USHER,https://kworb.net/spotify/artist/23zg3TcAtWQy7J6upgbUnj_albums.html,"42,559,649","-77,757",47,"51,216,038"
91,Metro Boomin,https://kworb.net/spotify/artist/0iEtIxbK0KxaSlF7G42ZOp_albums.html,"42,264,094","92,647",17,"64,728,517"
92,Maluma,https://kworb.net/spotify/artist/1r4hJ1h58CWwUQe3MxPuau_albums.html,"42,200,325","121,549",56,"47,177,187"
93,Don Omar,https://kworb.net/spotify/artist/33ScadVnbm2X8kkUqOkC6Z_albums.html,"42,123,351","-14,026",82,"42,498,390"
94,One Direction,https://kworb.net/spotify/artist/4AK6F7OLvEQ5QYCBNiQWHq_albums.html,"41,922,013","24,506",26,"61,154,815"
95,JENNIE,https://kworb.net/spotify/artist/250b0Wlc5Vk0CoUsaCY84M_albums.html,"41,892,434","141,724",42,"51,284,235"
96,Wham!,https://kworb.net/spotify/artist/5lpH0xAS4fVfLkACg9DAuM_albums.html,"41,777,577","1,136,758",13,"81,641,878"
97,Red Hot Chili Peppers,https://kworb.net/spotify/artist/0L8ExT028jH3ddEcZwqJJ5_albums.html,"41,593,329","16,046",80,"42,593,962"
98,Hozier,https://kworb.net/spotify/artist/2FXC3k01G6Gw61bmprjgqS_albums.html,"41,494,818","31,690",32,"57,616,097"
99,Farruko,https://kworb.net/spotify/artist/329e4yvIujISKGKz1BZZbO_albums.html,"41,394,414","5,402",64,"41,678,122"
100,Tame Impala,https://kworb.net/spotify/artist/5INjqkS1o8h1imAzPqGZBb_albums.html,"41,295,852","-21,799",86,"43,511,404"
101,Selena Gomez,https://kworb.net/spotify/artist/0C8ZW7ezQVs4URX5aX7Kqx_albums.html,"40,946,088","-41,650",22,"58,879,269"
102,21 Savage,https://kworb.net/spotify/artist/1URnnhqYAYcrqrcwql10ft_albums.html,"40,428,901","90,423",17,"66,771,445"
103,The Police,https://kworb.net/spotify/artist/5NGO30tJxFlKixkPSgXcFE_albums.html,"40,343,368","245,089",103,"40,343,368"
104,ROSALÃA,https://kworb.net/spotify/artist/7ltDVBr6mKbRvohxheJ9h1_albums.html,"40,228,444","8,157",47,"46,715,627"
105,Peso Pluma,https://kworb.net/spotify/artist/12GqGscKJx3aE4t07u7eVZ_albums.html,"39,979,224","110,101",27,"59,429,724"
106,JAY-Z,https://kworb.net/spotify/artist/3nFkdlSjzX9mRTtwJOzDYB_albums.html,"39,929,442","-17,177",66,"40,138,386"
107,Kelly Clarkson,https://kworb.net/spotify/artist/3BmGtnKgCSGYIUhmivXKWX_albums.html,"39,920,991","814,228",29,"64,847,712"
108,Fuerza Regida,https://kworb.net/spotify/artist/0ys2OFYzWYB5hRDLCsBqxt_albums.html,"39,858,648","141,594",102,"39,858,648"
109,Daniel Caesar,https://kworb.net/spotify/artist/20wkVLutqVOYrc0kxFs7rA_albums.html,"39,840,468","156,321",69,"44,105,561"
110,Madonna,https://kworb.net/spotify/artist/6tbjWDEIzxoDsBA1FuhfPW_albums.html,"39,733,630","56,894",50,"48,192,778"
111,Gorillaz,https://kworb.net/spotify/artist/3AA28KZvwAUcZuOKwyblJQ_albums.html,"39,425,341","-123,919",54,"42,877,228"
112,Don Toliver,https://kworb.net/spotify/artist/4Gso3d4CscCijv0lmajZWs_albums.html,"38,922,040","161,892",79,"42,762,039"
113,Wiz Khalifa,https://kworb.net/spotify/artist/137W8MRPWKqSmrBGDBFSop_albums.html,"38,833,018","-5,776",78,"43,003,656"
114,Kesha,https://kworb.net/spotify/artist/6LqNN22kT3074XbTVUrhzX_albums.html,"38,240,351","-96,559",56,"51,088,856"
115,Frank Sinatra,https://kworb.net/spotify/artist/1Mxqyy3pSjf8kZZL4QVxS0_albums.html,"38,179,515","760,163",33,"61,802,582"
116,The Kid LAROI,https://kworb.net/spotify/artist/2tIP7SsRs7vjIcLrU85W8J_albums.html,"37,921,727","17,194",50,"46,982,806"
117,Akon,https://kworb.net/spotify/artist/0z4gvV4rjIZ9wHck67ucSV_albums.html,"37,552,192","5,726",113,"37,552,192"
118,ABBA,https://kworb.net/spotify/artist/0LcJLqbBmaGUft1e9Mm8HV_albums.html,"37,504,085","200,582",105,"37,504,085"
119,Anuel AA,https://kworb.net/spotify/artist/2R21vXR83lH98kGeO99Y66_albums.html,"37,480,259","61,035",83,"37,480,259"
120,Sachin-Jigar,https://kworb.net/spotify/artist/1mBydYMVBECdDmMfE2sEUO_albums.html,"36,640,691","-12,440",115,"37,050,005"
121,Flo Rida,https://kworb.net/spotify/artist/0jnsk9HBra6NMjO2oANoPY_albums.html,"36,409,331","-125,610",88,"40,806,713"
122,Nirvana,https://kworb.net/spotify/artist/6olE6TJLqED3rqDCT0FyPh_albums.html,"36,163,058","62,727",122,"36,163,058"
123,The Goo Goo Dolls,https://kworb.net/spotify/artist/2sil8z5kiy4r76CRTXxBCA_albums.html,"36,157,067","25,817",105,"38,486,480"
124,Cigarettes After Sex,https://kworb.net/spotify/artist/1QAJqy2dA3ihHBFIHRphZj_albums.html,"36,048,453","161,940",124,"36,048,453"
