artist_name,artist_id,album_title,streams,daily,artist_url
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,^ The Highlights (Deluxe),"50,504,765,430","22,906,304",https://kworb.net/spotify/artist/1Xyo4u8uXC1ZmMpatF05PJ_albums.html
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,^ The Highlights,"35,408,325,517","14,065,604",https://kworb.net/spotify/artist/1Xyo4u8uXC1ZmMpatF05PJ_albums.html
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,^ The Weeknd In Japan,"18,748,416,747","7,052,740",https://kworb.net/spotify/artist/1Xyo4u8uXC1ZmMpatF05PJ_albums.html
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Starboy (Deluxe),"18,100,700,359","6,884,284",https://kworb.net/spotify/artist/1Xyo4u8uXC1ZmMpatF05PJ_albums.html
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Starboy,"16,676,488,102","6,308,032",https://kworb.net/spotify/artist/1Xyo4u8uXC1ZmMpatF05PJ_albums.html
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,After Hours (Deluxe),"15,377,418,499","5,765,059",https://kworb.net/spotify/artist/1Xyo4u8uXC1ZmMpatF05PJ_albums.html
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,After Hours (Deluxe),"13,329,725,864","4,629,576",https://kworb.net/spotify/artist/1Xyo4u8uXC1ZmMpatF05PJ_albums.html
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,After Hours,"12,971,593,515","4,530,427",https://kworb.net/spotify/artist/1Xyo4u8uXC1ZmMpatF05PJ_albums.html
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Beauty Behind The Madness,"11,267,215,503","3,710,299",https://kworb.net/spotify/artist/1Xyo4u8uXC1ZmMpatF05PJ_albums.html
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Beauty Behind The Madness,"11,053,430,153","3,642,794",https://kworb.net/spotify/artist/1Xyo4u8uXC1ZmMpatF05PJ_albums.html
Bruno Mars,0du5cEVh5yTK9QJze8zA0C,^ Bruno Mars 2024 Tour Favorites Indonesia,"34,639,027,255","17,693,517",https://kworb.net/spotify/artist/0du5cEVh5yTK9QJze8zA0C_albums.html
Bruno Mars,0du5cEVh5yTK9QJze8zA0C,Doo-Wops & Hooligans (Deluxe),"11,401,778,306","5,655,525",https://kworb.net/spotify/artist/0du5cEVh5yTK9QJze8zA0C_albums.html
