artist_name,artist_id,album_title,streams,daily,artist_url
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,^ The Highlights (Deluxe),"50,397,039,813","20,767,272",https://kworb.net/spotify/artist/1Xyo4u8uXC1ZmMpatF05PJ_albums.html
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,^ The Highlights,"35,341,574,149","12,960,951",https://kworb.net/spotify/artist/1Xyo4u8uXC1ZmMpatF05PJ_albums.html
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,^ The Weeknd In Japan,"18,714,930,918","6,442,240",https://kworb.net/spotify/artist/1Xyo4u8uXC1ZmMpatF05PJ_albums.html
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Starboy (Deluxe),"18,068,015,356","6,328,971",https://kworb.net/spotify/artist/1Xyo4u8uXC1ZmMpatF05PJ_albums.html
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Starboy,"16,646,474,497","5,806,868",https://kworb.net/spotify/artist/1Xyo4u8uXC1ZmMpatF05PJ_albums.html
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,After Hours (Deluxe),"15,350,377,018","5,321,728",https://kworb.net/spotify/artist/1Xyo4u8uXC1ZmMpatF05PJ_albums.html
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,After Hours (Deluxe),"13,308,022,826","4,252,158",https://kworb.net/spotify/artist/1Xyo4u8uXC1ZmMpatF05PJ_albums.html
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,After Hours,"12,950,342,350","4,176,290",https://kworb.net/spotify/artist/1Xyo4u8uXC1ZmMpatF05PJ_albums.html
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Beauty Behind The Madness,"11,249,600,510","3,323,496",https://kworb.net/spotify/artist/1Xyo4u8uXC1ZmMpatF05PJ_albums.html
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Beauty Behind The Madness,"11,036,114,523","3,268,840",https://kworb.net/spotify/artist/1Xyo4u8uXC1ZmMpatF05PJ_albums.html
Bruno Mars,0du5cEVh5yTK9QJze8zA0C,^ Bruno Mars 2024 Tour Favorites Indonesia,"34,555,116,636","16,826,189",https://kworb.net/spotify/artist/0du5cEVh5yTK9QJze8zA0C_albums.html
Bruno Mars,0du5cEVh5yTK9QJze8zA0C,Doo-Wops & Hooligans (Deluxe),"11,374,966,164","5,339,360",https://kworb.net/spotify/artist/0du5cEVh5yTK9QJze8zA0C_albums.html
Bruno Mars,0du5cEVh5yTK9QJze8zA0C,Doo-Wops & Hooligans,"11,371,530,600","5,335,990",https://kworb.net/spotify/artist/0du5cEVh5yTK9QJze8zA0C_albums.html
Bruno Mars,0du5cEVh5yTK9QJze8zA0C,Doo-Wops & Hooligans,"11,254,162,051","5,290,610",https://kworb.net/spotify/artist/0du5cEVh5yTK9QJze8zA0C_albums.html
Bruno Mars,0du5cEVh5yTK9QJze8zA0C,Unorthodox Jukebox (Deluxe Edition),"8,193,321,310","3,694,943",https://kworb.net/spotify/artist/0du5cEVh5yTK9QJze8zA0C_albums.html
Bruno Mars,0du5cEVh5yTK9QJze8zA0C,Unorthodox Jukebox,"8,192,033,291","3,694,716",https://kworb.net/spotify/artist/0du5cEVh5yTK9QJze8zA0C_albums.html
Bruno Mars,0du5cEVh5yTK9QJze8zA0C,24K Magic,"7,303,061,407","3,705,872",https://kworb.net/spotify/artist/0du5cEVh5yTK9QJze8zA0C_albums.html
Bruno Mars,0du5cEVh5yTK9QJze8zA0C,An Evening With Silk Sonic,"3,436,135,976","1,400,251",https://kworb.net/spotify/artist/0du5cEVh5yTK9QJze8zA0C_albums.html
Bruno Mars,0du5cEVh5yTK9QJze8zA0C,MAYHEM,"3,200,200,177","2,899,702",https://kworb.net/spotify/artist/0du5cEVh5yTK9QJze8zA0C_albums.html
Bruno Mars,0du5cEVh5yTK9QJze8zA0C,rosie,"2,150,208,256","1,917,196",https://kworb.net/spotify/artist/0du5cEVh5yTK9QJze8zA0C_albums.html
Taylor Swift,06HL4z0CvFAxyc27GXpf02,Lover,"13,730,238,756","3,846,620",https://kworb.net/spotify/artist/06HL4z0CvFAxyc27GXpf02_albums.html
Taylor Swift,06HL4z0CvFAxyc27GXpf02,Midnights (The Til Dawn Edition),"11,572,306,938","2,819,222",https://kworb.net/spotify/artist/06HL4z0CvFAxyc27GXpf02_albums.html
Taylor Swift,06HL4z0CvFAxyc27GXpf02,reputation Stadium Tour Surprise Song Playlist,"11,173,765,292","2,678,070",https://kworb.net/spotify/artist/06HL4z0CvFAxyc27GXpf02_albums.html
Taylor Swift,06HL4z0CvFAxyc27GXpf02,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],"11,081,927,159","3,888,974",https://kworb.net/spotify/artist/06HL4z0CvFAxyc27GXpf02_albums.html
Taylor Swift,06HL4z0CvFAxyc27GXpf02,Midnights (3am Edition),"10,914,832,329","2,598,779",https://kworb.net/spotify/artist/06HL4z0CvFAxyc27GXpf02_albums.html
