rank,artist_name,artist_url,listeners,daily_change,peak_rank,peak_listeners
1,The Weeknd,https://kworb.net/spotify/artist/1Xyo4u8uXC1ZmMpatF05PJ_albums.html,"120,665,134","-257,738",1,"126,192,069"
2,Bruno Mars,https://kworb.net/spotify/artist/0du5cEVh5yTK9QJze8zA0C_albums.html,"114,343,023","-103,809",1,"151,079,821"
3,Taylor Swift,https://kworb.net/spotify/artist/06HL4z0CvFAxyc27GXpf02_albums.html,"105,444,121","65,581",1,"116,229,071"
4,Justin Bieber,https://kworb.net/spotify/artist/1uNFoZAHBGtllmzznpCI3s_albums.html,"105,375,436","904,335",3,"105,375,436"
5,Ariana Grande,https://kworb.net/spotify/artist/66CXWjxzNUsdJxJ2JdwvnR_albums.html,"102,210,536","1,325,208",2,"123,700,287"
6,Rihanna,https://kworb.net/spotify/artist/5pKCCKE2ajJHZ9KAiaK11H_albums.html,"100,283,269","-145,236",2,"102,670,137"
7,Lady Gaga,https://kworb.net/spotify/artist/1HY2Jd0NmPuamShAr6KMms_albums.html,"98,179,723","-405,384",2,"124,637,761"
8,Ed Sheeran,https://kworb.net/spotify/artist/6eUKZXaKkcviH0Ku9w2n3V_albums.html,"97,236,893","335,147",2,"100,809,268"
9,Coldplay,https://kworb.net/spotify/artist/4gzpq5DPGxSnKTe4SA8HAU_albums.html,"93,330,867","260,620",4,"98,296,633"
10,Billie Eilish,https://kworb.net/spotify/artist/6qqNVTkY8uBg9cP3Jd7DAH_albums.html,"92,971,130","-343,789",1,"108,297,865"
11,Drake,https://kworb.net/spotify/artist/3TVXtAsR1Inumwj472S9r4_albums.html,"80,899,408","-34,506",3,"86,591,246"
12,Bad Bunny,https://kworb.net/spotify/artist/4q3ewBCX7sLwd24euuV69X_albums.html,"77,962,665","-25,564",3,"95,350,887"
13,David Guetta,https://kworb.net/spotify/artist/1Cs0zKBU1kc0i8ypK3B9ai_albums.html,"76,350,000","-228,883",4,"82,747,865"
14,Sia,https://kworb.net/spotify/artist/5WUlDfRSoLAfcVSX1WnrxN_albums.html,"75,321,235","1,095,472",8,"93,545,630"
15,Sabrina Carpenter,https://kworb.net/spotify/artist/74KM79TiuVKeVCqs8QtB0B_albums.html,"73,720,764","263,292",4,"90,844,193"
16,Maroon 5,https://kworb.net/spotify/artist/04gDigrS5kc9YWfZHwBETP_albums.html,"73,309,859","44,505",14,"75,143,583"
17,Eminem,https://kworb.net/spotify/artist/7dGJo4pcD2V6oG8kP0tJRR_albums.html,"72,041,678","107,540",5,"86,389,533"
18,Kendrick Lamar,https://kworb.net/spotify/artist/2YZyLoL8N0Wb9xBt1NhZWg_albums.html,"70,561,467","-9,371",4,"112,091,210"
19,Shakira,https://kworb.net/spotify/artist/0EmeFodog0BfCgMzAIvKQp_albums.html,"67,645,768","27,491",3,"82,268,835"
20,SZA,https://kworb.net/spotify/artist/7tYKF4w9nC0nq9CsPZTHyP_albums.html,"67,163,233","-155,501",6,"97,852,020"
21,J Balvin,https://kworb.net/spotify/artist/1vyhD5VmyZ7KMfW5gqLgo5_albums.html,"65,781,641","54,206",18,"70,482,988"
22,Kanye West,https://kworb.net/spotify/artist/5K4W6rqBFWDnAN6FQUkS6x_albums.html,"65,568,619","-54,632",6,"78,581,428"
23,Katy Perry,https://kworb.net/spotify/artist/6jJ0s89eD6GaHleKKya26X_albums.html,"64,326,856","135,000",20,"68,464,762"
24,Mariah Carey,https://kworb.net/spotify/artist/4iHNK0tOyZPYnBU7nGAgpQ_albums.html,"63,635,490","2,072,102",5,"100,610,625"
25,Calvin Harris,https://kworb.net/spotify/artist/7CajNmpbOovFoOoasH2HaY_albums.html,"63,459,607","-109,658",13,"76,334,289"
26,Post Malone,https://kworb.net/spotify/artist/246dkjvS1zLTtiykXe5h60_albums.html,"63,006,027","13,941",3,"98,466,468"
27,Daddy Yankee,https://kworb.net/spotify/artist/4VMYDCV2IEDYJArk749S6m_albums.html,"62,414,100","136,434",22,"62,414,100"
28,Dua Lipa,https://kworb.net/spotify/artist/6M2wZ9GZgrQXHCFfjv46we_albums.html,"61,761,000","-37,199",3,"78,673,675"
29,Michael Jackson,https://kworb.net/spotify/artist/3fMbdgg4jU18AjLCKBhRSm_albums.html,"61,685,719","-385,347",21,"67,640,541"
30,Lana Del Rey,https://kworb.net/spotify/artist/00FQb4jTyendYWaN8pK0wa_albums.html,"61,540,682","-20,143",22,"64,952,989"
31,Travis Scott,https://kworb.net/spotify/artist/0Y5tJX1MQlPlqiwlOH1tJY_albums.html,"59,393,484","-124,406",6,"75,557,671"
32,Chris Brown,https://kworb.net/spotify/artist/7bXgB6jMjp9ATFy66eO08Z_albums.html,"59,368,902","-142,921",25,"60,215,489"
33,Doja Cat,https://kworb.net/spotify/artist/5cj0lLjcoR7YOSnhnX0Po5_albums.html,"59,175,742","-142,877",5,"76,357,864"
34,Pitbull,https://kworb.net/spotify/artist/0TnOYISbd1XYRBk9myaseg_albums.html,"57,803,570","-360,739",24,"66,809,902"
35,Adele,https://kworb.net/spotify/artist/4dpARuHxo51G3z768sgnrY_albums.html,"56,879,371","56,221",23,"62,764,213"
36,Imagine Dragons,https://kworb.net/spotify/artist/53XhwfbYqKCa1cC15pYq2q_albums.html,"56,847,873","-132,454",18,"62,801,774"
