artist_id,name,genres,followers,popularity
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,[],114828130,95
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,[],76539597,92
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,[],85626237,93
06HL4z0CvFAxyc27GXpf02,Taylor Swift,[],147460505,100
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,['pop'],108138395,94
5pKCCKE2ajJHZ9KAiaK11H,Rihanna,[],69879500,92
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,"['art pop', 'pop']",43125463,90
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,['soft pop'],123475437,90
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,[],61444612,90
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,[],120173313,92
3TVXtAsR1Inumwj472S9r4,Drake,['rap'],104395935,97
4q3ewBCX7sLwd24euuV69X,Bad Bunny,"['reggaeton', 'trap latino', 'urbano latino', 'latin']",104257128,97
5WUlDfRSoLAfcVSX1WnrxN,Sia,[],30739976,86
1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,['edm'],27288629,89
74KM79TiuVKeVCqs8QtB0B,Sabrina Carpenter,['pop'],27520580,92
04gDigrS5kc9YWfZHwBETP,Maroon 5,['pop'],46121046,87
7dGJo4pcD2V6oG8kP0tJRR,Eminem,"['rap', 'hip hop']",105490934,90
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,"['hip hop', 'west coast hip hop']",45226016,91
4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,['christmas'],12111009,85
0EmeFodog0BfCgMzAIvKQp,Shakira,['latin pop'],40301375,87
7tYKF4w9nC0nq9CsPZTHyP,SZA,['r&b'],33628258,89
5K4W6rqBFWDnAN6FQUkS6x,Kanye West,['rap'],31382676,91
1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,"['reggaeton', 'latin']",39361482,88
6jJ0s89eD6GaHleKKya26X,Katy Perry,['pop'],38752128,85
246dkjvS1zLTtiykXe5h60,Post Malone,[],47889065,87
7CajNmpbOovFoOoasH2HaY,Calvin Harris,['edm'],23137863,85
4VMYDCV2IEDYJArk749S6m,Daddy Yankee,"['reggaeton', 'latin']",38131287,88
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,['pop'],47165892,87
00FQb4jTyendYWaN8pK0wa,Lana Del Rey,[],52818664,90
3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,[],38144403,87
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,['rap'],41651487,91
7bXgB6jMjp9ATFy66eO08Z,Chris Brown,['r&b'],28823817,89
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,[],35179771,87
3PhoLpVuITZKcymswpck5b,Elton John,[],15719053,84
0TnOYISbd1XYRBk9myaseg,Pitbull,[],12079717,85
4dpARuHxo51G3z768sgnrY,Adele,['soft pop'],67438036,85
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,[],58630243,87
1dfeR4HaWDbWqFHLkxsg1d,Queen,"['classic rock', 'rock', 'glam rock']",55564836,85
7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,"['indie', 'garage rock']",32494388,87
45dkTj5sMRSjrmBSBeiHym,Tate McRae,[],9656394,91
7mW7Tv7NvywKKXqafZo0Lc,KPop Demon Hunters Cast,['k-pop'],1876432,90
4G9NDjRyZFDlJKMRL8hx3S,sombr,[],3104165,86
6XyY86QOPPrYVGvF9ch6wz,Linkin Park,"['nu metal', 'rap metal', 'rock', 'alternative metal']",32286338,90
2wY79sveU1sp5g7SokKOiI,Sam Smith,['soft pop'],26466414,83
6vWDO969PvNqNYHIOW5v0m,Beyoncé,[],41482571,86
1yxSLGMDHlW21z4YXirZDS,Black Eyed Peas,[],9713542,83
00x1fYSGhdqScXBRpSj3DW,Olivia Dean,['pop soul'],2099109,92
5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,[],26727653,83
0oOet2f43PA68X5RxKobEy,Shreya Ghoshal,"['bollywood', 'hindi pop', 'desi', 'kannada pop', 'marathi pop']",33354561,86
0fTSzq9jAh4c36UVb4V7CB,Alex Warren,[],3125397,86
1RyvyyTE3xzB2ZywiAwp0i,Future,['rap'],22990039,90
4YRxDV8wJFPHPTeXepOstw,Arijit Singh,"['hindi pop', 'bollywood', 'desi', 'bangla pop']",167061187,91
1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,"['reggaeton', 'urbano latino', 'trap latino', 'latin']",31605121,90
