artist_id,album_id,album_name,release_date,total_tracks,spotify_url
06HL4z0CvFAxyc27GXpf02,64LU4c1nfjz1t4VnGhagcg,1989 (Taylor's Version),2023-10-26,21,https://open.spotify.com/album/64LU4c1nfjz1t4VnGhagcg
06HL4z0CvFAxyc27GXpf02,5AEDGbliTTfjOB8TSm1sxt,Speak Now (Taylor's Version),2023-07-07,22,https://open.spotify.com/album/5AEDGbliTTfjOB8TSm1sxt
06HL4z0CvFAxyc27GXpf02,1fnJ7k0bllNfL1kVdNVW1A,Midnights (The Til Dawn Edition),2023-05-26,23,https://open.spotify.com/album/1fnJ7k0bllNfL1kVdNVW1A
06HL4z0CvFAxyc27GXpf02,3lS1y25WAhcqJDATJK70Mq,Midnights (3am Edition),2022-10-22,20,https://open.spotify.com/album/3lS1y25WAhcqJDATJK70Mq
66CXWjxzNUsdJxJ2JdwvnR,6pamCzTowX31m57z8dC1Sk,Wicked: For Good – The Soundtrack,2025-11-21,11,https://open.spotify.com/album/6pamCzTowX31m57z8dC1Sk
66CXWjxzNUsdJxJ2JdwvnR,6cbwstHlsAIIWurIIXXBPd,eternal sunshine deluxe: brighter days ahead,2025-03-28,19,https://open.spotify.com/album/6cbwstHlsAIIWurIIXXBPd
66CXWjxzNUsdJxJ2JdwvnR,7saicsozAZSsKEVQh4WAig,eternal sunshine deluxe: brighter days ahead (instrumental version),2025-03-27,38,https://open.spotify.com/album/7saicsozAZSsKEVQh4WAig
66CXWjxzNUsdJxJ2JdwvnR,2xqTa2dCR54yYHEcttiXyD,eternal sunshine deluxe: brighter days ahead (a cappella version),2025-03-27,38,https://open.spotify.com/album/2xqTa2dCR54yYHEcttiXyD
66CXWjxzNUsdJxJ2JdwvnR,3JUrJP460nFIqwjxM19slT,Wicked: The Soundtrack,2024-11-22,12,https://open.spotify.com/album/3JUrJP460nFIqwjxM19slT
66CXWjxzNUsdJxJ2JdwvnR,3L2iweH45rVdTBPldbY6dp,eternal sunshine (slightly deluxe and also live),2024-10-01,24,https://open.spotify.com/album/3L2iweH45rVdTBPldbY6dp
66CXWjxzNUsdJxJ2JdwvnR,2uMTmPEFafKfKeobvdx5EE,My Everything (Tenth Anniversary Edition),2024-08-22,17,https://open.spotify.com/album/2uMTmPEFafKfKeobvdx5EE
66CXWjxzNUsdJxJ2JdwvnR,5Csjy4XeA7KnizkhIvI7y2,eternal sunshine (slightly deluxe),2024-03-11,17,https://open.spotify.com/album/5Csjy4XeA7KnizkhIvI7y2
66CXWjxzNUsdJxJ2JdwvnR,5EYKrEDnKhhcNxGedaRQeK,eternal sunshine,2024-03-08,13,https://open.spotify.com/album/5EYKrEDnKhhcNxGedaRQeK
66CXWjxzNUsdJxJ2JdwvnR,2VSBGJ8bUuNgmOYXHIQagM,Yours Truly (Tenth Anniversary Edition),2023-08-25,19,https://open.spotify.com/album/2VSBGJ8bUuNgmOYXHIQagM
5pKCCKE2ajJHZ9KAiaK11H,4UlGauD7ROb3YbVOFMgW5u,ANTI (Deluxe),2016-01-28,16,https://open.spotify.com/album/4UlGauD7ROb3YbVOFMgW5u
5pKCCKE2ajJHZ9KAiaK11H,48i37aZTC1prDr4EcpQeEa,ANTI,2016-01-28,13,https://open.spotify.com/album/48i37aZTC1prDr4EcpQeEa
5pKCCKE2ajJHZ9KAiaK11H,4eddbruVtOqw8khwxSH6H2,Unapologetic (Deluxe),2012-12-11,17,https://open.spotify.com/album/4eddbruVtOqw8khwxSH6H2
5pKCCKE2ajJHZ9KAiaK11H,0XJya16l3K1J2dEwY19F8z,Unapologetic,2012-12-11,14,https://open.spotify.com/album/0XJya16l3K1J2dEwY19F8z
5pKCCKE2ajJHZ9KAiaK11H,3sW7wD2qdMjs7KncaOoIJ5,Talk That Talk (Deluxe),2012-07-18,14,https://open.spotify.com/album/3sW7wD2qdMjs7KncaOoIJ5
5pKCCKE2ajJHZ9KAiaK11H,1Kw1bVd07oRqcjrcjQKC8T,Talk That Talk,2011-11-19,11,https://open.spotify.com/album/1Kw1bVd07oRqcjrcjQKC8T
5pKCCKE2ajJHZ9KAiaK11H,2wi0v7jPzYBCd99GggLtN8,Rated R: Remixed,2010-05-08,10,https://open.spotify.com/album/2wi0v7jPzYBCd99GggLtN8
5pKCCKE2ajJHZ9KAiaK11H,5QG3tjE5L9F6O2vCAPph38,Loud,2010-01-01,13,https://open.spotify.com/album/5QG3tjE5L9F6O2vCAPph38
5pKCCKE2ajJHZ9KAiaK11H,7uGmyYwDFJbSc1xs4hkEs2,Rated R,2009-11-20,13,https://open.spotify.com/album/7uGmyYwDFJbSc1xs4hkEs2
5pKCCKE2ajJHZ9KAiaK11H,6nT2WJS6WHH86XRgkSK8yC,Good Girl Gone Bad: The Remixes,2009-01-01,12,https://open.spotify.com/album/6nT2WJS6WHH86XRgkSK8yC
1HY2Jd0NmPuamShAr6KMms,3ARwSvDQv2OHYnLeDC3Lxi,MAYHEM,2025-09-01,17,https://open.spotify.com/album/3ARwSvDQv2OHYnLeDC3Lxi
1HY2Jd0NmPuamShAr6KMms,3X2oYJbZtrmszmNeXRpckc,Joker: Folie à Deux (Music From The Motion Picture),2024-10-04,16,https://open.spotify.com/album/3X2oYJbZtrmszmNeXRpckc
1HY2Jd0NmPuamShAr6KMms,6eKdAMXNBlXNtPy7OdBL50,Harlequin,2024-09-27,13,https://open.spotify.com/album/6eKdAMXNBlXNtPy7OdBL50
1HY2Jd0NmPuamShAr6KMms,3tjIKRAPBy5Qu4z8F5HmBz,Top Gun: Maverick (Music From The Motion Picture),2022-05-27,12,https://open.spotify.com/album/3tjIKRAPBy5Qu4z8F5HmBz
1HY2Jd0NmPuamShAr6KMms,6hBQkPnq5u1BwZncSEDEgs,Love For Sale (Deluxe),2021-10-01,12,https://open.spotify.com/album/6hBQkPnq5u1BwZncSEDEgs
1HY2Jd0NmPuamShAr6KMms,3OevODyllQCrhudfLLnV3y,Dawn Of Chromatica,2021-09-03,14,https://open.spotify.com/album/3OevODyllQCrhudfLLnV3y
1HY2Jd0NmPuamShAr6KMms,6Yf9kML4wT3opmXhTUIfk7,BORN THIS WAY THE TENTH ANNIVERSARY,2021-06-25,20,https://open.spotify.com/album/6Yf9kML4wT3opmXhTUIfk7
1HY2Jd0NmPuamShAr6KMms,05c49JgPmL4Uz2ZeqRx5SP,Chromatica,2020-05-29,16,https://open.spotify.com/album/05c49JgPmL4Uz2ZeqRx5SP
1HY2Jd0NmPuamShAr6KMms,3edjzMAVB9RYRd4UcZBchx,A Star Is Born Soundtrack (Without Dialogue),2018-10-05,19,https://open.spotify.com/album/3edjzMAVB9RYRd4UcZBchx
1HY2Jd0NmPuamShAr6KMms,4sLtOBOzn4s3GDUv3c5oJD,A Star Is Born Soundtrack,2018-10-05,34,https://open.spotify.com/album/4sLtOBOzn4s3GDUv3c5oJD
6eUKZXaKkcviH0Ku9w2n3V,2ajCD41iDxflpYBZmSO9S7,Play (Deluxe),2025-11-28,27,https://open.spotify.com/album/2ajCD41iDxflpYBZmSO9S7
6eUKZXaKkcviH0Ku9w2n3V,64QhljQEwTfoEt9z6jsyxl,Play (Extended Edition),2025-09-12,18,https://open.spotify.com/album/64QhljQEwTfoEt9z6jsyxl
6eUKZXaKkcviH0Ku9w2n3V,20dY0uZi9SzfrcWYfiWGqH,Play,2025-09-12,13,https://open.spotify.com/album/20dY0uZi9SzfrcWYfiWGqH
6eUKZXaKkcviH0Ku9w2n3V,5ZewPP4nTMtJTn4krePB2d,+-=÷× (Tour Collection: Live),2024-12-27,50,https://open.spotify.com/album/5ZewPP4nTMtJTn4krePB2d
6eUKZXaKkcviH0Ku9w2n3V,3mJm77zryIt06nbQV7DjuY,+-=÷× (Tour Collection),2024-09-27,25,https://open.spotify.com/album/3mJm77zryIt06nbQV7DjuY
6eUKZXaKkcviH0Ku9w2n3V,1upLfaShcnjVjey0FdY7aO,x (10th Anniversary Edition),2024-06-21,21,https://open.spotify.com/album/1upLfaShcnjVjey0FdY7aO
6eUKZXaKkcviH0Ku9w2n3V,5bLE2kmkZWlzAYeb6To6LA,Autumn Variations (Fan Living Room Sessions),2023-10-02,28,https://open.spotify.com/album/5bLE2kmkZWlzAYeb6To6LA
6eUKZXaKkcviH0Ku9w2n3V,5LXOgcszGvUkYzYL4v6wYg,Autumn Variations,2023-09-29,14,https://open.spotify.com/album/5LXOgcszGvUkYzYL4v6wYg
6eUKZXaKkcviH0Ku9w2n3V,2WFFcvzM0CgLaSq4MSkyZk,- (Deluxe),2023-05-05,18,https://open.spotify.com/album/2WFFcvzM0CgLaSq4MSkyZk
6eUKZXaKkcviH0Ku9w2n3V,2CIOGAByaHyjQ1EO55JSzC,= (Tour Edition),2022-05-27,23,https://open.spotify.com/album/2CIOGAByaHyjQ1EO55JSzC
4gzpq5DPGxSnKTe4SA8HAU,5SGtrmYbIo0Dsg4kJ4qjM6,Moon Music,2024-10-04,10,https://open.spotify.com/album/5SGtrmYbIo0Dsg4kJ4qjM6
4gzpq5DPGxSnKTe4SA8HAU,1PdMoahMiMnqWfzWZs3xSI,Moon Music (Full Moon Edition),2024-10-03,20,https://open.spotify.com/album/1PdMoahMiMnqWfzWZs3xSI
4gzpq5DPGxSnKTe4SA8HAU,06mXfvDsRZNfnsGZvX2zpb,Music Of The Spheres,2021-10-15,12,https://open.spotify.com/album/06mXfvDsRZNfnsGZvX2zpb
4gzpq5DPGxSnKTe4SA8HAU,2FeyIYDDAQqcOJKOKhvHdr,Everyday Life,2019-11-22,16,https://open.spotify.com/album/2FeyIYDDAQqcOJKOKhvHdr
4gzpq5DPGxSnKTe4SA8HAU,19CvkGjYpifkdwgVJSbog2,Live in Buenos Aires,2018-12-07,24,https://open.spotify.com/album/19CvkGjYpifkdwgVJSbog2
4gzpq5DPGxSnKTe4SA8HAU,3cfAM8b8KqJRoIzt3zLKqw,A Head Full of Dreams,2015-12-04,11,https://open.spotify.com/album/3cfAM8b8KqJRoIzt3zLKqw
4gzpq5DPGxSnKTe4SA8HAU,1hNS0RsxPTFjmKXCgmjSLS,Ghost Stories Live 2014,2014-11-21,9,https://open.spotify.com/album/1hNS0RsxPTFjmKXCgmjSLS
4gzpq5DPGxSnKTe4SA8HAU,2G4AUqfwxcV1UdQjm2ouYr,Ghost Stories,2014-05-16,9,https://open.spotify.com/album/2G4AUqfwxcV1UdQjm2ouYr
4gzpq5DPGxSnKTe4SA8HAU,2OkEsqGTfu8PWRrNHzfr0m,Live 2012,2012-11-16,15,https://open.spotify.com/album/2OkEsqGTfu8PWRrNHzfr0m
4gzpq5DPGxSnKTe4SA8HAU,2R7iJz5uaHjLEVnMkloO18,Mylo Xyloto,2011-10-24,14,https://open.spotify.com/album/2R7iJz5uaHjLEVnMkloO18
6qqNVTkY8uBg9cP3Jd7DAH,7aJuG4TFXa2hmE4z1yxc3n,HIT ME HARD AND SOFT,2024-05-17,10,https://open.spotify.com/album/7aJuG4TFXa2hmE4z1yxc3n
6qqNVTkY8uBg9cP3Jd7DAH,0JGOiO34nwfUdDrD612dOp,Happier Than Ever,2021-07-30,16,https://open.spotify.com/album/0JGOiO34nwfUdDrD612dOp
6qqNVTkY8uBg9cP3Jd7DAH,0S0KGZnfBGSIssfF54WSJh,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,14,https://open.spotify.com/album/0S0KGZnfBGSIssfF54WSJh
3TVXtAsR1Inumwj472S9r4,6Rl6YoCarF2GHPSQmmFjuR,$ome $exy $ongs 4 U,2025-02-14,21,https://open.spotify.com/album/6Rl6YoCarF2GHPSQmmFjuR
3TVXtAsR1Inumwj472S9r4,4Q7cRXio6mF2ImVUCcezPO,For All The Dogs Scary Hours Edition,2023-11-17,29,https://open.spotify.com/album/4Q7cRXio6mF2ImVUCcezPO
3TVXtAsR1Inumwj472S9r4,4czdORdCWP9umpbhFXK2fW,For All The Dogs,2023-10-06,23,https://open.spotify.com/album/4czdORdCWP9umpbhFXK2fW
3TVXtAsR1Inumwj472S9r4,5MS3MvWHJ3lOZPLiMxzOU6,Her Loss,2022-11-04,16,https://open.spotify.com/album/5MS3MvWHJ3lOZPLiMxzOU6
3TVXtAsR1Inumwj472S9r4,3cf4iSSKd8ffTncbtKljXw,"Honestly, Nevermind",2022-06-17,14,https://open.spotify.com/album/3cf4iSSKd8ffTncbtKljXw
3TVXtAsR1Inumwj472S9r4,3SpBlxme9WbeQdI9kx7KAV,Certified Lover Boy,2021-09-03,21,https://open.spotify.com/album/3SpBlxme9WbeQdI9kx7KAV
3TVXtAsR1Inumwj472S9r4,6OQ9gBfg5EXeNAEwGSs6jK,Dark Lane Demo Tapes,2020-05-01,14,https://open.spotify.com/album/6OQ9gBfg5EXeNAEwGSs6jK
3TVXtAsR1Inumwj472S9r4,7dqpveMVcWgbzqYrOdkFTD,Care Package,2019-08-02,17,https://open.spotify.com/album/7dqpveMVcWgbzqYrOdkFTD
3TVXtAsR1Inumwj472S9r4,1ATL5GLyefJaxhQzSPVrLX,Scorpion,2018-06-29,25,https://open.spotify.com/album/1ATL5GLyefJaxhQzSPVrLX
3TVXtAsR1Inumwj472S9r4,1lXY618HWkwYKJWBRYR4MK,More Life,2017-03-18,22,https://open.spotify.com/album/1lXY618HWkwYKJWBRYR4MK
4q3ewBCX7sLwd24euuV69X,5K79FLRUCSysQnVESLcTdb,DeBÍ TiRAR MáS FOToS,2025-01-05,17,https://open.spotify.com/album/5K79FLRUCSysQnVESLcTdb
4q3ewBCX7sLwd24euuV69X,4FftCsAcXXD1nFO9RFUNFO,nadie sabe lo que va a pasar mañana,2023-10-13,22,https://open.spotify.com/album/4FftCsAcXXD1nFO9RFUNFO
4q3ewBCX7sLwd24euuV69X,3RQQmkQEvNCY4prGKE6oc5,Un Verano Sin Ti,2022-05-06,23,https://open.spotify.com/album/3RQQmkQEvNCY4prGKE6oc5
4q3ewBCX7sLwd24euuV69X,2d9BCZeAAhiZWPpbX9aPCW,EL ÚLTIMO TOUR DEL MUNDO,2020-11-27,16,https://open.spotify.com/album/2d9BCZeAAhiZWPpbX9aPCW
4q3ewBCX7sLwd24euuV69X,4gvQO5mEuhbMSrLIuwXkmz,LAS QUE NO IBAN A SALIR,2020-05-10,10,https://open.spotify.com/album/4gvQO5mEuhbMSrLIuwXkmz
4q3ewBCX7sLwd24euuV69X,5lJqux7orBlA1QzyiBGti1,YHLQMDLG,2020-02-29,20,https://open.spotify.com/album/5lJqux7orBlA1QzyiBGti1
4q3ewBCX7sLwd24euuV69X,6ylFfzx32ICw4L1A7YWNLN,OASIS,2019-06-28,8,https://open.spotify.com/album/6ylFfzx32ICw4L1A7YWNLN
4q3ewBCX7sLwd24euuV69X,7CjJb2mikwAWA1V6kewFBF,X 100PRE,2018-12-23,15,https://open.spotify.com/album/7CjJb2mikwAWA1V6kewFBF
5WUlDfRSoLAfcVSX1WnrxN,5MUbWieT5aVx5oVtrSgHxG,Saturday Church (Official Concept Album),2025-08-22,14,https://open.spotify.com/album/5MUbWieT5aVx5oVtrSgHxG
5WUlDfRSoLAfcVSX1WnrxN,0YAYI6pK9cbgb9VgSUyCY4,"LABRINTH, SIA, DIPLO PRESENT... LSD (REMIXES) (feat. Sia, Diplo & Labrinth)",2024-11-30,10,https://open.spotify.com/album/0YAYI6pK9cbgb9VgSUyCY4
5WUlDfRSoLAfcVSX1WnrxN,2JYsCq8rOuQXkwv9BtJEa8,Reasonable Woman,2024-05-03,16,https://open.spotify.com/album/2JYsCq8rOuQXkwv9BtJEa8
5WUlDfRSoLAfcVSX1WnrxN,0ynrXCnhZnaP0B7Kt2BW7B,Gimme Christmas (Sleep Soundscape),2023-09-10,17,https://open.spotify.com/album/0ynrXCnhZnaP0B7Kt2BW7B
5WUlDfRSoLAfcVSX1WnrxN,4nAUevRrNryD4J53nDtIpT,Gimme Christmas (Lofi Soundscape),2023-09-10,16,https://open.spotify.com/album/4nAUevRrNryD4J53nDtIpT
5WUlDfRSoLAfcVSX1WnrxN,49kFmuCyxzpbtVfnpLcOP1,Everyday Is Christmas (Snowman Deluxe Edition),2022-12-30,21,https://open.spotify.com/album/49kFmuCyxzpbtVfnpLcOP1
5WUlDfRSoLAfcVSX1WnrxN,7nA0EdSRuxzUqkA7kMSer7,Music (Songs From And Inspired By The Motion Picture),2021-02-12,14,https://open.spotify.com/album/7nA0EdSRuxzUqkA7kMSer7
5WUlDfRSoLAfcVSX1WnrxN,0ujHQ5WCLuKJQXOqXpGtpf,"LABRINTH, SIA & DIPLO PRESENT... LSD",2019-04-12,10,https://open.spotify.com/album/0ujHQ5WCLuKJQXOqXpGtpf
5WUlDfRSoLAfcVSX1WnrxN,2vcGYJcPfXUmCdcXXqqukg,Everyday Is Christmas (Deluxe Edition),2018-11-01,13,https://open.spotify.com/album/2vcGYJcPfXUmCdcXXqqukg
5WUlDfRSoLAfcVSX1WnrxN,2eV6DIPDnGl1idcjww6xyX,This Is Acting (Deluxe Version),2016-10-21,19,https://open.spotify.com/album/2eV6DIPDnGl1idcjww6xyX
1Cs0zKBU1kc0i8ypK3B9ai,7j3QBadmH19j8ucnxTmVIQ,She Knows (with Akon) [The Remixes],2023-12-29,7,https://open.spotify.com/album/7j3QBadmH19j8ucnxTmVIQ
1Cs0zKBU1kc0i8ypK3B9ai,0iAv3656WbI551gLIRS6NB,On My Love (The Remixes),2023-12-01,8,https://open.spotify.com/album/0iAv3656WbI551gLIRS6NB
1Cs0zKBU1kc0i8ypK3B9ai,2Sq9AIsIrad2GygwB6QLPt,7,2018-09-14,27,https://open.spotify.com/album/2Sq9AIsIrad2GygwB6QLPt
1Cs0zKBU1kc0i8ypK3B9ai,0GJU424RiEyYQTLbZcHVA7,7: Anniversary Edition,2018,38,https://open.spotify.com/album/0GJU424RiEyYQTLbZcHVA7
1Cs0zKBU1kc0i8ypK3B9ai,7bpWEp24oHgUs08ImjakfU,Listen Again,2015-11-27,46,https://open.spotify.com/album/7bpWEp24oHgUs08ImjakfU
1Cs0zKBU1kc0i8ypK3B9ai,3UEEPh5wsdhP7SKC31yvhu,Listen (Deluxe),2014-11-10,18,https://open.spotify.com/album/3UEEPh5wsdhP7SKC31yvhu
1Cs0zKBU1kc0i8ypK3B9ai,4bTjdxhRRUiWfwj200f9Kl,Nothing but the Beat (Ultimate Edition),2012-12-07,29,https://open.spotify.com/album/4bTjdxhRRUiWfwj200f9Kl
1Cs0zKBU1kc0i8ypK3B9ai,08DAekBeqPRCsn3XHDwj6b,Nothing but the Beat,2011-08-31,13,https://open.spotify.com/album/08DAekBeqPRCsn3XHDwj6b
1Cs0zKBU1kc0i8ypK3B9ai,4zz6V7KKnSYY1Y9SHxC819,Nothing but the Beat (Bonus Commentary),2011-08-28,18,https://open.spotify.com/album/4zz6V7KKnSYY1Y9SHxC819
1Cs0zKBU1kc0i8ypK3B9ai,5aprcHwM1KJhaY9Kbxkfkn,Nothing but the Beat 2.0,2011-08-24,23,https://open.spotify.com/album/5aprcHwM1KJhaY9Kbxkfkn
74KM79TiuVKeVCqs8QtB0B,1aqg30bNvLSWgShZgX4oop,Man’s Best Friend,2025-08-29,12,https://open.spotify.com/album/1aqg30bNvLSWgShZgX4oop
74KM79TiuVKeVCqs8QtB0B,3WzBIQmn2hrulLeTY9smkk,Short n' Sweet (Deluxe),2025-02-14,17,https://open.spotify.com/album/3WzBIQmn2hrulLeTY9smkk
74KM79TiuVKeVCqs8QtB0B,3iPSVi54hsacKKl1xIR2eH,Short n' Sweet,2024-08-23,12,https://open.spotify.com/album/3iPSVi54hsacKKl1xIR2eH
74KM79TiuVKeVCqs8QtB0B,2g4aJTa5ejGpp0O0GKzWAQ,emails i can’t send fwd:,2023-03-17,17,https://open.spotify.com/album/2g4aJTa5ejGpp0O0GKzWAQ
74KM79TiuVKeVCqs8QtB0B,5kDmlA2g9Y1YCbNo2Ufxlz,emails i can't send,2022-07-15,13,https://open.spotify.com/album/5kDmlA2g9Y1YCbNo2Ufxlz
74KM79TiuVKeVCqs8QtB0B,19KilSbbeHRFFZM7ChwTdP,Singular Act II,2019-07-19,9,https://open.spotify.com/album/19KilSbbeHRFFZM7ChwTdP
74KM79TiuVKeVCqs8QtB0B,29mlGxS6kxq1EHxlX1EAZK,Singular Act I,2018-11-09,8,https://open.spotify.com/album/29mlGxS6kxq1EHxlX1EAZK
74KM79TiuVKeVCqs8QtB0B,7iOAJaGBmk67o337zaqt0R,EVOLution,2016-10-14,10,https://open.spotify.com/album/7iOAJaGBmk67o337zaqt0R
74KM79TiuVKeVCqs8QtB0B,55huyEjfSVsk9nnmmKp5df,Eyes Wide Open,2015-04-10,12,https://open.spotify.com/album/55huyEjfSVsk9nnmmKp5df
04gDigrS5kc9YWfZHwBETP,4hnzOo44FfNzkAjtywCvBL,Love Is Like (Deluxe),2025-08-16,13,https://open.spotify.com/album/4hnzOo44FfNzkAjtywCvBL
04gDigrS5kc9YWfZHwBETP,0cMIntDigHjfYqnvgJjd3Q,Love Is Like,2025-08-15,10,https://open.spotify.com/album/0cMIntDigHjfYqnvgJjd3Q
04gDigrS5kc9YWfZHwBETP,5x7JzoE4A3DwwU6FPt8qws,Overexposed,2021-06-20,12,https://open.spotify.com/album/5x7JzoE4A3DwwU6FPt8qws
04gDigrS5kc9YWfZHwBETP,1pCA38N6MkLlthXtAOvZTU,JORDI (Deluxe),2021-06-11,14,https://open.spotify.com/album/1pCA38N6MkLlthXtAOvZTU
04gDigrS5kc9YWfZHwBETP,3ThQ5dvf9wlqB0C7evh5nH,Red Pill Blues (Deluxe),2018-06-15,16,https://open.spotify.com/album/3ThQ5dvf9wlqB0C7evh5nH
